player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Chris Morris,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,195,12,7,4,82*,65.00,109,178.89,0,1,15,12
JP Duminy,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,191,10,8,3,49*,38.20,156,122.43,0,0,13,3
Ravindra Jadeja,GL,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,191,15,15,6,36*,21.22,178,107.30,0,0,14,4
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,188,12,8,1,39*,26.85,114,164.91,0,0,10,15
Suryakumar Yadav,KKR,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png?v=1,182,15,11,4,60,26.00,143,127.27,0,1,18,5
Moises Henriques,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,182,17,15,3,31*,15.16,158,115.18,0,0,15,6
Glenn Maxwell,PBKS,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,179,11,11,2,68,19.88,124,144.35,0,2,14,8
Shane Watson,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,179,16,15,2,36,13.76,134,133.58,0,0,14,12
Parthiv Patel,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,177,10,10,0,81,17.70,152,116.44,0,1,23,4
Saurabh Tiwary,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,170,10,7,0,57,24.28,141,120.56,0,2,17,4
Manan Vohra,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,161,7,7,0,51,23.00,131,122.90,0,1,19,3
David Miller,PBKS,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=1,161,14,13,3,31,16.10,131,122.90,0,0,11,4
Shaun Marsh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,159,6,6,1,56*,31.80,134,118.65,0,1,13,4
Hashim Amla,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,157,6,6,0,96,26.16,119,131.93,0,1,20,4
Thisara Perera,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,150,12,10,3,34,21.42,93,161.29,0,0,7,11
Marcus Stoinis,PBKS,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png?v=1,146,7,5,1,52,36.50,108,135.18,0,1,13,4
Deepak Hooda,SRH,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png?v=1,144,17,15,1,34,10.28,121,119.00,0,0,9,5
Naman Ojha,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,136,17,13,3,37,13.60,138,98.55,0,0,7,5
Usman Khawaja,RPS,https://scores.iplt20.com/ipl/playerimages/Usman Khawaja.png?v=1,127,6,6,0,30,21.16,100,127.00,0,0,14,3
Kane Williamson,SRH,https://scores.iplt20.com/ipl/playerimages/Kane Williamson.png?v=1,124,6,6,0,50,20.66,122,101.63,0,1,14,0
Eoin Morgan,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,123,7,6,1,51,24.60,105,117.14,0,1,8,4
Sachin Baby,RCB,https://scores.iplt20.com/ipl/playerimages/Sachin Baby.png?v=1,119,11,6,1,33,23.80,79,150.63,0,0,9,5
Shakib Al Hasan,KKR,https://scores.iplt20.com/ipl/playerimages/Shakib Al Hasan.png?v=1,114,10,7,2,66*,22.80,106,107.54,0,1,7,5
Gurkeerat Mann Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,113,7,6,1,51,22.60,86,131.39,0,1,11,3
Axar Patel,PBKS,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,111,14,10,3,36*,15.85,77,144.15,0,0,4,8
Nitish Rana,MI,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=1,104,4,3,0,70,34.66,75,138.66,0,1,7,8
Dwayne Bravo,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,99,15,13,5,22*,12.37,82,120.73,0,0,11,1
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,92,14,7,4,45*,30.66,84,109.52,0,0,11,2
Sam Billings,DC,https://scores.iplt20.com/ipl/playerimages/Sam Billings.png?v=1,88,5,4,0,54,22.00,64,137.50,0,1,4,4
George Bailey,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,84,6,5,1,34,21.00,98,85.71,0,0,9,2
Carlos Brathwaite,DC,https://scores.iplt20.com/ipl/playerimages/Carlos Brathwaite.png?v=1,83,8,6,0,34,13.83,38,218.42,0,0,6,8
James Faulkner,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,77,7,5,2,32,25.66,59,130.50,0,0,7,0
Kevin Pietersen,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,73,4,4,2,37,36.50,61,119.67,0,0,4,3
Sarfaraz Khan,RCB,https://scores.iplt20.com/ipl/playerimages/Sarfaraz Khan.png?v=1,66,5,4,2,35*,33.00,31,212.90,0,0,7,4
Ben Cutting,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,65,4,4,2,39*,32.50,34,191.17,0,0,4,6
Stuart Binny,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,63,14,6,3,21,21.00,39,161.53,0,0,5,4
Martin Guptill,MI,https://scores.iplt20.com/ipl/playerimages/Martin Guptill.png?v=1,57,3,3,0,48,19.00,55,103.63,0,0,3,3
Pawan Negi,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,57,8,6,4,19*,28.50,59,96.61,0,0,2,3
Travis Head,RCB,https://scores.iplt20.com/ipl/playerimages/Travis Head.png?v=1,54,3,3,1,37,27.00,40,135.00,0,0,3,2
Bipul Sharma,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,51,7,4,2,27*,25.50,25,204.00,0,0,1,5
Ashish Reddy,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,47,4,3,1,32,23.50,29,162.06,0,0,2,4
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,44,11,9,2,9,6.28,63,69.84,0,0,4,0
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,43,17,8,2,21,7.16,27,159.25,0,0,6,1
Kedar Jadhav,RCB,https://scores.iplt20.com/ipl/playerimages/Kedar Jadhav.png?v=1,42,4,3,3,25*,0.00,32,131.25,0,0,2,2
Ishan Kishan,GL,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png?v=1,42,5,5,0,27,8.40,41,102.43,0,0,5,0
Ravichandran Ashwin,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,41,14,6,4,29,20.50,38,107.89,0,0,3,1
Iqbal Abdulla,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,37,8,2,2,33*,0.00,27,137.03,0,0,4,1
Karn Sharma,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,36,5,3,3,26*,0.00,30,120.00,0,0,3,1
Rajat Bhatia,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,34,10,6,5,21,34.00,20,170.00,0,0,1,2
Mitchell McClenaghan,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,34,14,5,2,20,11.33,23,147.82,0,0,2,3
Mohit Sharma,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,32,14,6,2,15,8.00,26,123.07,0,0,3,1
Colin Munro,KKR,https://scores.iplt20.com/ipl/playerimages/Colin Munro.png?v=1,30,4,3,0,16,10.00,30,100.00,0,0,3,0
Shreyas Iyer,DC,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,30,6,6,0,19,5.00,43,69.76,0,0,2,1
Tim Southee,MI,https://scores.iplt20.com/ipl/playerimages/Tim Southee.png?v=1,30,11,4,1,25,10.00,19,157.89,0,0,1,2
Praveen Kumar,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,28,16,7,3,15,7.00,27,103.70,0,0,4,0
Mayank Agarwal,DC,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png?v=1,27,3,3,0,10,9.00,25,108.00,0,0,3,1
Piyush Chawla,KKR,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,27,12,3,0,11,9.00,26,103.84,0,0,4,0
Chris Lynn,KKR,https://scores.iplt20.com/ipl/playerimages/Chris Lynn.png?v=1,25,2,2,1,15,25.00,22,113.63,0,0,0,1
Eklavya Dwivedi,GL,https://scores.iplt20.com/ipl/playerimages/Eklavya Dwivedi.png?v=1,24,4,2,0,19,12.00,14,171.42,0,0,2,2
Rajagopal Sathish,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,24,4,3,0,10,8.00,24,100.00,0,0,1,1
Nikhil Naik,PBKS,https://scores.iplt20.com/ipl/playerimages/Nikhil Naik.png?v=1,23,2,2,0,22,11.50,31,74.19,0,0,1,0
Dhawal Kulkarni,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,23,14,5,3,6*,11.50,15,153.33,0,0,2,0
Jason Holder,KKR,https://scores.iplt20.com/ipl/playerimages/Jason Holder.png?v=1,22,4,4,0,13,5.50,19,115.78,0,0,2,1
Akshdeep Nath,GL,https://scores.iplt20.com/ipl/playerimages/Akshdeep Nath.png?v=1,20,4,3,0,12,6.66,27,74.07,0,0,1,0
Pradeep Sahu,PBKS,https://scores.iplt20.com/ipl/playerimages/Pradeep Sahu.png?v=1,19,5,2,1,18*,19.00,13,146.15,0,0,1,1
Albie Morkel,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,16,2,1,0,16,16.00,9,177.77,0,0,0,2
Rishi Dhawan,PBKS,https://scores.iplt20.com/ipl/playerimages/Rishi Dhawan.png?v=1,14,2,2,2,11*,0.00,6,233.33,0,0,0,1
Farhaan Behardien,PBKS,https://scores.iplt20.com/ipl/playerimages/Farhaan Behardien.png?v=1,14,3,3,1,9*,7.00,13,107.69,0,0,2,0
Vinay Kumar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,13,3,2,1,12,13.00,12,108.33,0,0,0,1
KC Cariappa,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,13,5,2,1,12*,13.00,11,118.18,0,0,0,1
Kyle Abbott,PBKS,https://scores.iplt20.com/ipl/playerimages/Kyle Abbott.png?v=1,13,5,3,2,12*,13.00,8,162.50,0,0,0,1
Irfan Pathan,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,11,4,3,0,7,3.66,13,84.61,0,0,0,0
Parveez Rasool,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,10,4,1,0,10,10.00,9,111.11,0,0,1,0
Nathan Coulter-Nile,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,9,4,2,2,7*,0.00,14,64.28,0,0,1,0
Umesh Yadav,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,9,9,2,1,7*,9.00,5,180.00,0,0,0,1
Lendl Simmons,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,1,1,0,8,8.00,8,100.00,0,0,0,1
Aditya Tare,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,3,2,0,8,4.00,15,53.33,0,0,1,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,14,2,1,6,8.00,11,72.72,0,0,1,0
Sandeep Sharma,PBKS,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,8,14,4,4,5*,0.00,9,88.88,0,0,0,0
Mitchell Marsh,RPS,https://scores.iplt20.com/ipl/playerimages/Mitchell Marsh.png?v=1,7,3,1,0,7,7.00,11,63.63,0,0,0,0
Pravin Tambe,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,7,7,1,1,7*,0.00,19,36.84,0,0,1,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,7,11,4,3,4,7.00,13,53.84,0,0,0,0
Peter Handscomb,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,6,2,1,0,6,6.00,12,50.00,0,0,0,0
Jayant Yadav,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,6,5,2,0,5,3.00,10,60.00,0,0,0,0
Zaheer Khan,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,6,12,2,0,4,3.00,13,46.15,0,0,1,0
David Wiese,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,5,1,1,1,5*,0.00,4,125.00,0,0,0,0
Mitchell Johnson,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,5,3,3,1,4,2.50,14,35.71,0,0,0,0
Imran Tahir,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,5,4,1,0,5,5.00,7,71.42,0,0,1,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,4,14,2,0,3,2.00,14,28.57,0,0,0,0
Barinder Sran,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,4,14,4,4,2*,0.00,4,100.00,0,0,0,0
Ankit Sharma,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,3,3,1,1,3*,0.00,3,100.00,0,0,0,0
Chris Jordan,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,3,9,1,0,3,3.00,4,75.00,0,0,0,0
Shreyas Gopal,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,2,1,1,0,2,2.00,16,12.50,0,0,0,0
Mohammad Shami,DC,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,2,8,2,2,2*,0.00,4,50.00,0,0,0,0
Dale Steyn,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,1,1,0,1,1.00,2,50.00,0,0,0,0
Kane Richardson,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,4,1,1,1*,0.00,1,100.00,0,0,0,0
Shahbaz Nadeem,DC,https://scores.iplt20.com/ipl/playerimages/Shahbaz Nadeem.png?v=1,1,4,1,1,1*,0.00,5,20.00,0,0,0,0
Shadab Jakati,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,6,1,1,1*,0.00,2,50.00,0,0,0,0
Ashish Nehra,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,8,2,2,1*,0.00,1,100.00,0,0,0,0
Morne Morkel,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,10,2,2,1*,0.00,1,100.00,0,0,0,0
Swapnil Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Swapnil Singh.png?v=1,0,1,1,0,0*,0.00,1,0.00,0,0,0,0
Unmukt Chand,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,1,1,0,0*,0.00,4,0.00,0,0,0,0
Adam Zampa,RPS,https://scores.iplt20.com/ipl/playerimages/Adam Zampa.png?v=1,0,5,1,0,0*,0.00,1,0.00,0,0,0,0
Shivil Kaushik,GL,https://scores.iplt20.com/ipl/playerimages/Shivil Kaushik.png?v=1,0,7,2,1,0*,0.00,1,0.00,0,0,0,0
Murugan Ashwin,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,10,1,0,0*,0.00,1,0.00,0,0,0,0
