player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,973,16,16,4,113,81.08,640,152.03,4,7,83,38
David Warner,SRH,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,848,17,17,3,93*,60.57,560,151.42,0,9,88,31
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,687,16,16,3,129*,52.84,407,168.79,1,6,57,37
Gautam Gambhir,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,501,15,15,2,90*,38.53,411,121.89,0,5,54,6
Shikhar Dhawan,SRH,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,501,17,17,4,82*,38.53,429,116.78,0,4,51,8
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,489,14,14,3,85*,44.45,368,132.88,0,5,49,16
Ajinkya Rahane,RPS,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,480,14,14,3,74,43.63,379,126.64,0,6,54,9
Murali Vijay,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,453,14,14,1,89,34.84,364,124.45,0,5,50,10
Quinton de Kock,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,445,13,13,1,108,37.08,327,136.08,1,3,52,13
Suresh Raina,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,399,15,15,1,75,28.50,312,127.88,0,3,39,10
KL Rahul,RCB,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png?v=1,397,14,12,3,68*,44.11,271,146.49,0,4,37,16
Robin Uthappa,KKR,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,394,15,15,0,72,26.26,289,136.33,0,3,45,8
Aaron Finch,GL,https://scores.iplt20.com/ipl/playerimages/Aaron Finch.png?v=1,393,13,12,2,74,39.30,299,131.43,0,5,45,11
Yusuf Pathan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,361,15,13,8,63*,72.20,248,145.56,0,3,33,13
Karun Nair,DC,https://scores.iplt20.com/ipl/playerimages/Karun Nair.png?v=1,357,14,12,2,83*,35.70,297,120.20,0,3,40,6
Brendon McCullum,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,354,16,16,0,60,22.12,262,135.11,0,1,38,16
Dinesh Karthik,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,335,16,15,2,53,25.76,266,125.93,0,3,38,3
Ambati Rayudu,MI,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,334,13,12,1,65,30.36,278,120.14,0,2,28,12
Dwayne Smith,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,324,12,12,1,73,29.45,221,146.60,0,3,35,16
Sanju Samson,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,291,14,14,3,60,26.45,259,112.35,0,1,20,8
MS Dhoni,RPS,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,284,14,12,5,64*,40.57,210,135.23,0,1,18,14
Steve Smith,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,270,8,7,1,101,45.00,176,153.40,1,0,27,8
Wriddhiman Saha,PBKS,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png?v=1,270,12,12,1,56,24.54,212,127.35,0,2,29,1
Jos Buttler,MI,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png?v=1,255,14,14,3,41,23.18,184,138.58,0,0,23,11
Manish Pandey,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,248,12,11,3,52,31.00,183,135.51,0,2,17,9
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,237,12,9,3,86,39.50,124,191.12,0,1,22,13
Yuvraj Singh,SRH,https://scores.iplt20.com/ipl/playerimages/Yuvraj Singh.png?v=1,236,10,10,1,44,26.22,179,131.84,0,0,22,13
Chris Gayle,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,227,10,10,0,76,22.70,150,151.33,0,2,17,21
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,207,13,12,4,51*,25.87,144,143.75,0,1,11,16
Faf du Plessis,RPS,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png?v=1,206,6,6,0,69,34.33,162,127.16,0,2,17,9
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,198,10,10,2,69,24.75,152,130.26,0,1,19,6
