player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
David Warner,SRH,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,692,12,12,2,100*,69.20,481,143.86,1,8,57,21
KL Rahul,PBKS,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png?v=1,593,14,14,3,100*,53.90,438,135.38,1,6,49,25
Quinton de Kock,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,529,16,16,1,81,35.26,398,132.91,0,4,45,25
Shikhar Dhawan,DC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,521,16,16,1,97*,34.73,384,135.67,0,5,64,11
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,510,14,13,4,80*,56.66,249,204.81,0,4,31,52
Chris Gayle,PBKS,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,490,13,13,1,99*,40.83,319,153.60,0,4,45,34
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,488,16,16,3,78*,37.53,300,162.66,0,3,37,27
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,464,14,14,0,100,33.14,328,141.46,1,2,46,13
Shreyas Iyer,DC,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,463,16,16,1,67,30.86,386,119.94,0,3,41,14
Jonny Bairstow,SRH,https://scores.iplt20.com/ipl/playerimages/Jonny Bairstow.png?v=1,445,10,10,2,114,55.62,283,157.24,1,2,48,18
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,442,13,13,3,82*,44.20,287,154.00,0,5,31,26
Suryakumar Yadav,MI,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png?v=1,424,16,15,2,71*,32.61,324,130.86,0,2,45,10
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,416,15,12,7,84*,83.20,309,134.62,0,3,22,23
Chris Lynn,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,405,13,13,0,82,31.15,290,139.65,0,4,41,22
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,405,15,15,1,67,28.92,315,128.57,0,2,52,10
