player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Sohail Tanvir,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,22,11, 11, 41,266,6/14,12.09,6.46, 11.22 ,1,1
Shane Warne,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,15, 15, 52,404,4/21,21.26,7.76, 16.42 ,0,0
Shanthakumaran Sreesanth,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,15, 15, 51,442,3/29,23.26,8.63, 16.15 ,0,0
Piyush Chawla,PBKS,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,17,15, 15, 47,389,4/17,22.88,8.30, 16.52 ,0,0
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,13, 13, 48,399,4/32,23.47,8.31, 16.94 ,1,0
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,15, 15, 54,383,4/29,22.52,7.07, 19.11 ,0,0
Manpreet Gony,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,16, 16, 60,443,3/31,26.05,7.38, 21.17 ,0,0
Yo Mahesh,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,11, 11, 42,370,4/36,23.12,8.77, 15.81 ,1,0
Irfan Pathan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,14, 14, 53,350,3/24,23.33,6.60, 21.20 ,0,0
RP Singh,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,14, 14, 51,442,4/22,29.46,8.61, 20.53 ,0,0
MF Maharoof,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,10, 10, 36,249,3/34,16.60,6.91, 14.40 ,0,0
Munaf Patel,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,15, 15, 55,420,5/21,30.00,7.63, 23.57 ,0,0
Zaheer Khan,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,11, 11, 42,357,4/17,27.46,8.50, 19.38 ,0,0
Siddharth Trivedi,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,15, 15, 48,399,4/25,30.69,8.31, 22.15 ,0,0
Ashish Nehra,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,14, 14, 45,348,4/10,29.00,7.76, 22.41 ,0,0
Glenn McGrath,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,14, 14, 54,357,4/29,29.75,6.61, 27.00 ,1,0
Umar Gul,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,6, 6, 22,184,4/23,15.33,8.17, 11.25 ,1,0
Lakshmipathy Balaji,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,9, 9, 33,286,5/24,26.00,8.66, 18.00 ,0,1
Shaun Pollock,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,13, 13, 46,301,3/12,27.36,6.54, 25.09 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,11,6, 6, 20,142,5/17,12.90,7.15, 10.81 ,0,1
Dwayne Bravo,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,9, 9, 28,232,4/22,21.09,8.14, 15.54 ,0,0
Muttiah Muralitharan,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,15, 15, 58,404,3/11,36.72,6.96, 31.63 ,0,0
Dhawal Kulkarni,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,10, 10, 29,236,4/14,21.45,8.00, 16.09 ,0,0
Vikram Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,13, 13, 48,420,3/29,38.18,8.75, 26.18 ,0,0
Pragyan Ojha,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,13, 12, 37,284,3/11,25.81,7.67, 20.18 ,0,0
Praveen Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,13, 13, 44,366,3/18,33.27,8.19, 24.36 ,0,0
Dilhara Fernando,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,5, 5, 20,160,4/18,16.00,8.00, 12.00 ,1,0
Dale Steyn,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,10, 10, 38,252,3/11,25.20,6.63, 22.80 ,0,0
Shahid Afridi,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,10, 10, 30,225,3/28,25.00,7.50, 20.00 ,0,0
