player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Ajit Agarkar,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,9, 9, 26,207,3/25,25.87,7.96, 19.50 ,0,0
Mohammad Asif,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,8, 8, 32,296,2/19,37.00,9.25, 24.00 ,0,0
Joginder Sharma,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,8, 7, 24,239,2/27,29.87,9.68, 18.50 ,0,0
Ashok Dinda,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,13, 12, 38,258,4/18,32.25,6.78, 28.50 ,0,0
Yusuf Pathan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,16, 13, 28,230,3/20,28.75,8.16, 21.12 ,0,0
Ishant Sharma,KKR,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png?v=1,8,13, 13, 43,331,5/12,41.37,7.66, 32.37 ,0,0
James Hopes,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,11, 11, 28,276,2/2,39.42,9.85, 24.00 ,0,0
Palani Amarnath,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,6, 6, 22,236,2/29,33.71,10.72, 18.85 ,0,0
Anil Kumble,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,10, 10, 38,304,5/5,43.42,7.93, 32.85 ,0,0
Makhaya Ntini,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,9, 9, 35,242,4/21,34.57,6.91, 30.00 ,1,0
Laxmi Ratan Shukla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,13, 9, 12,124,3/25,20.66,10.33, 12.00 ,0,0
Rajat Bhatia,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,9, 9, 22,183,4/15,30.50,8.31, 22.00 ,0,0
Sourav Ganguly,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,13, 7, 20,128,2/21,21.33,6.40, 20.00 ,0,0
Rohan Raje,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,6, 6, 16,137,2/16,27.40,8.38, 19.60 ,0,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,3, 3, 10,82,5/18,16.40,8.20, 12.00 ,0,0
Dwayne Smith,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 4, 11,83,4/8,16.60,7.54, 13.20 ,0,0
Shoaib Akhtar,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,3, 3, 7,54,4/11,10.80,7.71, 8.40 ,1,0
Chaminda Vaas,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,5, 5, 17,145,3/21,29.00,8.52, 20.40 ,0,0
Vinay Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,8, 8, 23,182,4/40,36.40,7.91, 27.60 ,0,0
Pradeep Sangwan,DC,https://scores.iplt20.com/ipl/playerimages/Pradeep Sangwan.png?v=1,5,7, 7, 24,215,3/18,43.00,8.95, 28.80 ,0,0
Brett Lee,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,4, 4, 16,112,3/15,28.00,7.00, 24.00 ,0,0
Sanath Jayasuriya,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,14, 8, 21,159,3/14,39.75,7.57, 31.50 ,0,0
Sanjay Bangar,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,11, 9, 25,219,2/34,54.75,8.76, 37.50 ,0,0
Jacques Kallis,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,11, 11, 34,311,3/13,77.75,9.05, 51.50 ,0,0
Paidikalva Vijaykumar,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,9, 9, 25,199,1/17,49.75,7.85, 38.00 ,0,0
Scott Styris,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,8, 8, 27,199,3/32,66.33,7.37, 54.00 ,0,0
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,14, 7, 11,133,2/18,44.33,12.09, 22.00 ,0,0
Yuvraj Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,15, 6, 9,83,4/29,27.66,9.22, 18.00 ,0,0
Murali Kartik,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,6, 5, 14,127,3/17,42.33,8.65, 29.33 ,0,0
Ramesh Powar,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 5, 12,91,2/11,30.33,7.58, 24.00 ,0,0
Jacob Oram,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 16,149,3/32,49.66,9.31, 32.00 ,0,0
Gajendra Singh,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 14,141,1/33,47.00,10.07, 28.00 ,0,0
Dominic Thornely,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,6, 4, 7,40,2/7,13.33,5.71, 14.00 ,0,0
David Hussey,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,13, 5, 13,130,2/2,65.00,10.00, 39.00 ,0,0
Daniel Vettori,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 8,54,3/15,27.00,6.75, 24.00 ,0,0
Venugopal Rao,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,11, 7, 14,137,2/23,68.50,9.78, 42.00 ,0,0
Dimitri Mascarenhas,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,1, 1, 4,29,5/25,14.50,7.25, 12.00 ,0,0
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,2,13, 4, 7,61,2/25,30.50,7.95, 23.00 ,0,0
Doddapaneni Kalyankrishna,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 3, 8,87,1/30,43.50,10.87, 24.00 ,0,0
Siddharth Chitnis,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 2, 6,60,2/40,30.00,10.00, 18.00 ,0,0
Shoaib Malik,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,7, 5, 8,85,1/6,42.50,10.00, 25.50 ,0,0
Balachandra Akhil,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,7, 6, 17,134,2/17,67.00,7.73, 52.00 ,0,0
Musavir Khote,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,4, 2, 5,51,2/29,25.50,10.20, 15.00 ,0,0
Nuwan Zoysa,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 3, 11,99,1/30,49.50,9.00, 33.00 ,0,0
Ashley Noffke,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,40,1/40,40.00,10.00, 24.00 ,0,0
Wilkin Mota,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,4, 2, 3,36,1/24,36.00,12.00, 18.00 ,0,0
Brett Geeves,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 8,91,1/50,91.00,11.37, 48.00 ,0,0
Andre Nel,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 3,31,1/31,31.00,10.33, 18.00 ,0,0
Rohit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,1,13, 1, 4,25,4/6,25.00,6.25, 24.00 ,0,0
Ajantha Mendis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,24,2/19,24.00,6.00, 24.00 ,0,0
Vidyut Sivaramakrishnan,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,9, 1, 2,22,1/22,22.00,11.00, 12.00 ,0,0
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,16, 2, 3,30,2/0,30.00,9.00, 20.00 ,0,0
Sunil Joshi,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,4, 4, 9,82,1/27,82.00,8.94, 55.00 ,0,0
Dinesh Salunkhe,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,6, 5, 8,78,1/21,78.00,9.95, 47.00 ,0,0
Dwaraka Ravi Teja,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,7, 1, 2,19,1/19,19.00,9.50, 12.00 ,0,0
Mohammad Hafeez,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,8, 2, 5,24,1/8,24.00,4.80, 30.00 ,0,0
Abhishek Nayar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,14, 5, 7,68,3/13,68.00,9.71, 42.00 ,0,0
PM Sarvesh Kumar,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 5,42,1/18,42.00,8.40, 30.00 ,0,0
