player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Yuzvendra Chahal,RR,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,27,17, 17, 68.0,527,40/5,19.51,7.75, 15.11 ,1,1
Wanindu Hasaranga,RCB,https://scores.iplt20.com/ipl/playerimages/Wanindu Hasaranga.png?v=1,26,16, 16, 57.0,430,18/5,16.53,7.54, 13.15 ,1,1
Kagiso Rabada,PBKS,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png?v=1,23,13, 13, 48.0,406,33/4,17.65,8.45, 12.52 ,2,0
Umran Malik,SRH,https://scores.iplt20.com/ipl/playerimages/Umran Malik.png?v=1,22,14, 14, 49.1,444,25/5,20.18,9.03, 13.40 ,1,1
Kuldeep Yadav,DC,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png?v=1,21,14, 14, 49.4,419,14/4,19.95,8.43, 14.19 ,2,0
Mohammad Shami,GT,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,20,16, 16, 61.0,488,25/3,24.40,8.00, 18.30 ,0,0
Josh Hazlewood,RCB,https://scores.iplt20.com/ipl/playerimages/Josh Hazlewood.png?v=1,20,12, 12, 46.3,377,25/4,18.85,8.10, 13.95 ,1,0
Rashid Khan,GT,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,19,16, 16, 63.5,421,24/4,22.15,6.59, 20.15 ,1,0
Harshal Patel,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,15, 15, 53.3,410,34/4,21.57,7.66, 16.89 ,1,0
Prasidh Krishna,RR,https://scores.iplt20.com/ipl/playerimages/Prasidh Krishna.png?v=1,19,17, 17, 66.3,551,22/3,29.00,8.28, 21.00 ,0,0
Avesh Khan,LSG,https://scores.iplt20.com/ipl/playerimages/Avesh Khan.png?v=1,18,13, 13, 47.4,416,24/4,23.11,8.72, 15.88 ,1,0
T Natarajan,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,18,11, 11, 43.0,406,10/3,22.55,9.44, 14.33 ,0,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,17,14, 13, 28.1,278,5/4,16.35,9.86, 9.94 ,1,0
Umesh Yadav,KKR,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png?v=1,16,12, 12, 48.0,339,23/4,21.18,7.06, 18.00 ,1,0
Trent Boult,RR,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,16,16, 16, 62.0,492,18/2,30.75,7.93, 23.25 ,0,0
Khaleel Ahmed,DC,https://scores.iplt20.com/ipl/playerimages/Khaleel Ahmed.png?v=1,16,10, 10, 39.1,315,25/3,19.68,8.04, 14.68 ,0,0
