player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Dillon du Preez,RCB,https://scores.iplt20.com/ipl/playerimages/Dillon du Preez.png?v=1,10,2,1,0,10,10.00,13,76.92,0,0,0,0
Shane Harwood,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,9,3,2,2,6*,0.00,14,64.28,0,0,0,0
Siddharth Trivedi,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,9,7,3,1,6*,4.50,18,50.00,0,0,0,0
Dhawal Kulkarni,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,9,8,4,2,7*,4.50,17,52.94,0,0,0,0
Morne Morkel,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,2,1,0,8,8.00,8,100.00,0,0,1,0
Ravichandran Ashwin,CSK,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=1,8,2,1,0,8,8.00,15,53.33,0,0,1,0
Zaheer Khan,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,6,4,3,4*,8.00,11,72.72,0,0,0,0
Muttiah Muralitharan,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,13,4,2,4,4.00,8,100.00,0,0,1,0
RP Singh,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,8,16,6,2,4,2.00,17,47.05,0,0,0,0
Arindam Ghosh,KKR,https://scores.iplt20.com/ipl/playerimages/Arindam Ghosh.png?v=1,7,2,2,0,7,3.50,8,87.50,0,0,1,0
Siddharth Chitnis,RR,https://scores.iplt20.com/ipl/playerimages/Siddharth Chitnis.png?v=1,6,1,1,0,6,6.00,8,75.00,0,0,1,0
Paul Valthaty,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,6,2,2,0,5,3.00,12,50.00,0,0,1,0
Shoaib Shaikh,KKR,https://scores.iplt20.com/ipl/playerimages/Shoaib Shaikh.png?v=1,6,2,1,0,6,6.00,7,85.71,0,0,1,0
Shanthakumaran Sreesanth,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,5,7,2,2,4*,0.00,18,27.77,0,0,1,0
Lakshmipathy Balaji,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,4,13,4,1,2*,1.33,10,40.00,0,0,0,0
