player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Andrew McDonald,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 3, 10,61,2/25,12.20,6.10, 12.00 ,0,0
Daniel Vettori,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,9, 9, 35,236,3/15,47.20,6.74, 42.00 ,0,0
Wayne Parnell,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,6, 6, 21,128,3/27,25.60,6.09, 25.20 ,0,0
Ankit Sharma,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,9, 9, 24,165,2/20,41.25,6.82, 36.25 ,0,0
Iqbal Abdulla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,9, 8, 22,144,3/24,36.00,6.54, 33.00 ,0,0
Murali Kartik,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,11, 11, 36,266,3/17,66.50,7.38, 54.00 ,0,0
Nuwan Kulasekara,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,5, 4, 14,94,2/10,23.50,6.71, 21.00 ,0,0
Ajit Agarkar,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 14,134,3/25,44.66,9.34, 28.66 ,0,0
Alfonso Thomas,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 14,109,3/22,36.33,7.78, 28.00 ,0,0
Anand Rajan,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 12,109,3/27,36.33,9.21, 23.66 ,0,0
David Hussey,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,16, 6, 9,63,2/2,21.00,7.00, 18.00 ,0,0
Doug Bracewell,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,1, 1, 4,32,3/32,10.66,8.00, 8.00 ,0,0
James Faulkner,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,2, 2, 8,72,5/16,24.00,9.00, 16.00 ,0,0
Manpreet Gony,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,6, 6, 24,207,3/31,69.00,8.62, 48.00 ,0,0
Marchant de Lange,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,3, 3, 10,107,3/34,35.66,10.70, 20.00 ,0,0
Robin Peterson,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 4, 8,70,3/37,23.33,8.75, 16.00 ,0,0
Shikhar Dhawan,DEC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,3,15, 4, 6,55,1/7,18.33,9.16, 12.00 ,0,0
Stuart Binny,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,8, 6, 10,78,2/14,26.00,7.80, 20.00 ,0,0
Yo Mahesh,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 4, 9,81,4/36,27.00,8.67, 18.66 ,0,0
Yusuf Pathan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,17, 12, 22,182,3/20,60.66,8.27, 44.00 ,0,0
Bhargav Bhatt,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,5, 5, 16,136,4/22,68.00,8.24, 49.50 ,0,0
Dwayne Smith,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,7, 6, 13,95,4/8,47.50,7.30, 39.00 ,0,0
Juan Theron,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 8,66,2/17,33.00,8.25, 24.00 ,0,0
Michael Clarke,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,6, 5, 11,67,1/12,33.50,6.09, 33.00 ,0,0
Roelof van der Merwe,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 3, 10,60,3/20,30.00,6.00, 30.00 ,0,0
Sourav Ganguly,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,15, 4, 10,95,2/21,47.50,9.50, 30.00 ,0,0
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,19, 7, 14,105,2/0,52.50,7.50, 42.00 ,0,0
Abhishek Jhunjhunwala,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,5, 3, 6,38,1/13,38.00,6.33, 36.00 ,0,0
Akshath Reddy,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,5, 1, 3,32,1/32,32.00,10.66, 18.00 ,0,0
Andre Russell,DC,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,1,4, 4, 16,161,5/15,161.00,10.06, 96.00 ,0,0
Ashok Menaria,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,15, 3, 3,23,2/20,23.00,6.90, 20.00 ,0,0
Brad Hodge,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,12, 2, 2,21,4/13,21.00,10.50, 12.00 ,0,0
Clint McKay,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 7,60,1/36,60.00,8.57, 42.00 ,0,0
Glenn Maxwell,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 3,22,2/15,22.00,7.33, 18.00 ,0,0
Jesse Ryder,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,11, 4, 7,70,2/14,70.00,10.00, 42.00 ,0,0
JP Duminy,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,9, 6, 12,104,4/17,104.00,8.66, 72.00 ,0,0
Laxmi Ratan Shukla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,11, 2, 2,12,3/25,12.00,6.00, 12.00 ,0,0
Mandeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Mandeep Singh.png?v=1,1,16, 1, 3,23,1/23,23.00,7.66, 18.00 ,0,0
Pradeep Sangwan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,42,3/18,42.00,10.50, 24.00 ,0,0
Ryan ten Doeschate,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 1, 3,24,1/24,24.00,8.00, 18.00 ,0,0
TP Sudhindra,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 11,136,1/46,136.00,11.65, 70.00 ,0,0
