player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Morne Morkel,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,25,16, 16, 63,453,4/20,18.12,7.19, 15.12 ,1,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,24,15, 15, 59,324,5/19,13.50,5.47, 14.79 ,1,1
Lasith Malinga,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,22,14, 14, 55,350,5/13,15.90,6.30, 15.13 ,1,0
Umesh Yadav,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,17, 17, 61,453,4/24,23.84,7.42, 19.26 ,0,0
Vinay Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,15, 14, 56,480,4/40,25.26,8.59, 17.63 ,0,0
Dale Steyn,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,18,12, 12, 46,285,3/11,15.83,6.10, 15.55 ,0,0
Parvinder Awana,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,12, 12, 47,372,4/34,21.88,7.91, 16.58 ,1,0
Zaheer Khan,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,16, 15, 60,453,4/17,26.64,7.55, 21.17 ,0,0
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,16,14, 14, 44,350,4/44,21.87,7.98, 16.43 ,1,0
Piyush Chawla,PBKS,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,16,16, 16, 57,419,4/17,26.18,7.35, 21.37 ,0,0
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,15,19, 18, 57,461,4/22,30.73,7.99, 23.06 ,0,0
Jacques Kallis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,17, 16, 54,403,3/13,26.86,7.46, 21.60 ,0,0
Munaf Patel,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,12, 12, 46,367,5/21,24.46,7.86, 18.66 ,2,0
Muttiah Muralitharan,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,10, 10, 40,260,3/11,17.33,6.50, 16.00 ,0,0
Azhar Mahmood,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,11, 11, 42,329,3/20,23.50,7.71, 18.28 ,0,0
Ben Hilfenhaus,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,9, 9, 34,233,3/27,16.64,6.85, 14.57 ,0,0
Ravichandran Ashwin,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,19, 18, 66,432,4/34,30.85,6.56, 28.21 ,0,0
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,16, 15, 49,385,4/32,29.61,7.77, 22.84 ,0,0
Amit Mishra,DEC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,13,14, 14, 47,377,5/17,29.00,8.02, 21.69 ,0,0
Rajat Bhatia,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,17, 16, 53,389,4/15,29.92,7.31, 24.53 ,0,0
Siddharth Trivedi,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,14, 14, 52,380,4/25,29.23,7.30, 24.00 ,1,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,12,19, 14, 35,273,5/16,22.75,7.80, 17.50 ,0,1
Shakib Al Hasan,KKR,https://scores.iplt20.com/ipl/playerimages/Shakib Al Hasan.png?v=1,12,8, 8, 30,195,3/17,16.25,6.50, 15.00 ,0,0
Ashish Nehra,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,13, 13, 48,402,4/10,36.54,8.37, 26.18 ,0,0
Lakshmipathy Balaji,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,8, 8, 30,162,5/24,14.72,5.43, 16.27 ,1,0
Amit Singh,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,9, 9, 33,310,4/19,31.00,9.44, 19.70 ,0,0
Ashish Reddy,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,9, 8, 24,205,3/25,20.50,8.48, 14.50 ,0,0
Brad Hogg,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,9, 9, 36,253,4/29,25.30,7.02, 21.60 ,0,0
Kevon Cooper,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,6, 6, 24,174,4/26,17.40,7.25, 14.40 ,1,0
RP Singh,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,11, 11, 41,318,4/22,31.80,7.75, 24.60 ,0,0
Veer Pratap Singh,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,9, 9, 34,296,2/31,29.60,8.70, 20.40 ,0,0
Ashok Dinda,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,7, 7, 24,169,4/18,18.77,7.04, 16.00 ,1,0
Harshal Patel,RCB,https://scores.iplt20.com/ipl/playerimages/Harshal Patel.png?v=1,9,12, 11, 41,340,5/27,37.77,8.29, 27.33 ,0,0
Johan Botha,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,11, 11, 41,297,3/6,33.00,7.24, 27.33 ,0,0
Pragyan Ojha,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,9, 9, 30,220,3/11,24.44,7.33, 20.00 ,0,0
Praveen Kumar,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,16, 16, 63,434,3/18,48.22,6.88, 42.00 ,0,0
Rahul Sharma,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,11, 11, 37,300,3/13,33.33,8.10, 24.66 ,0,0
Shadab Jakati,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,15, 15, 41,335,4/22,37.22,8.17, 27.33 ,0,0
Bhuvneshwar Kumar,PWI,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png?v=1,8,11, 11, 39,281,5/19,35.12,7.20, 29.25 ,0,0
Dan Christian,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,7, 7, 27,233,2/10,29.12,8.62, 20.25 ,0,0
Doug Bollinger,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,6, 6, 18,157,4/13,19.62,8.72, 13.50 ,0,0
Irfan Pathan,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,17, 17, 60,465,3/24,58.12,7.75, 45.00 ,0,0
Marlon Samuels,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,8, 8, 28,216,3/39,27.00,7.53, 21.50 ,0,0
Ryan Harris,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,5, 5, 18,130,4/34,16.25,7.22, 13.50 ,1,0
Shahbaz Nadeem,DC,https://scores.iplt20.com/ipl/playerimages/Shahbaz Nadeem.png?v=1,8,12, 12, 45,318,3/16,39.75,7.06, 33.75 ,0,0
Varun Aaron,DC,https://scores.iplt20.com/ipl/playerimages/Varun Aaron.png?v=1,8,8, 8, 31,271,3/16,33.87,8.74, 23.25 ,0,0
Angelo Mathews,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,9, 9, 26,192,4/19,27.42,7.38, 22.28 ,0,0
Ankeet Chavan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,8, 8, 27,236,2/23,33.71,8.63, 23.42 ,0,0
Brett Lee,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,10, 10, 38,299,3/15,42.71,7.86, 32.57 ,0,0
Dimitri Mascarenhas,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,4, 4, 16,105,5/25,15.00,6.56, 13.71 ,0,1
Pankaj Singh,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,6, 6, 21,170,2/18,24.28,8.09, 18.00 ,0,0
Pawan Negi,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,8, 6, 22,152,4/18,21.71,6.90, 18.85 ,1,0
Dhawal Kulkarni,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,2, 2, 8,64,4/14,10.66,8.00, 8.00 ,0,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,6,17, 16, 54,384,5/18,64.00,7.11, 54.00 ,0,0
Harmeet Singh Bansal,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,7, 6, 19,168,3/24,28.00,8.68, 19.33 ,0,0
James Franklin,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,12, 9, 15,121,2/18,20.16,8.06, 15.00 ,0,0
KP Appanna,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,7, 6, 17,148,4/19,24.66,8.70, 17.00 ,1,0
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,7, 7, 23,161,4/29,26.83,7.00, 23.00 ,0,0
Shaun Tait,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,6, 6, 23,151,3/13,25.16,6.61, 22.83 ,0,0
Ajit Chandila,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 4, 14,86,4/13,17.20,6.14, 16.80 ,1,0
