player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Chris Gayle,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,608,12,12,3,107,67.55,332,183.13,2,3,57,44
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,557,16,16,4,71,46.41,460,121.08,0,4,55,16
Sachin Tendulkar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,553,16,16,3,100*,42.53,488,113.31,1,2,67,5
Shaun Marsh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,504,14,13,1,95,42.00,344,146.51,0,4,52,20
Michael Hussey,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,492,14,14,2,83*,41.00,414,118.84,0,4,53,6
Paul Valthaty,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,463,14,14,1,120*,35.61,338,136.98,1,2,56,20
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,438,16,16,2,73*,31.28,325,134.76,0,4,36,17
Murali Vijay,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,434,16,16,0,95,27.12,339,128.02,0,3,34,20
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,424,11,11,0,119,38.54,240,176.66,1,2,51,18
Jacques Kallis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,424,15,14,2,80*,35.33,378,112.16,0,4,46,6
Shikhar Dhawan,DEC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,400,14,14,2,95*,33.33,310,129.03,0,2,47,7
Subramaniam Badrinath,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,396,16,13,6,71*,56.57,313,126.51,0,5,38,9
Ambati Rayudu,MI,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,395,16,16,2,63*,28.21,350,112.85,0,4,44,9
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,392,16,13,4,70*,43.55,247,158.70,0,2,25,23
Adam Gilchrist,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,383,14,14,0,106,27.35,295,129.83,1,2,41,18
Gautam Gambhir,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,378,15,15,4,75*,34.36,317,119.24,0,2,44,3
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,372,16,14,3,87,33.81,297,125.25,0,3,32,13
Manoj Tiwary,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,359,15,14,7,61*,51.28,325,110.46,0,1,26,14
Kumar Sangakkara,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,358,13,13,0,65,27.53,293,122.18,0,1,44,5
Brendon McCullum,KTK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,357,13,13,0,81,27.46,275,129.81,0,1,35,16
Rahul Dravid,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,343,12,12,1,66,31.18,314,109.23,0,1,45,2
Yuvraj Singh,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,343,14,13,3,66*,34.30,261,131.41,0,2,24,18
Venugopal Rao,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,336,14,14,2,60,28.00,280,120.00,0,1,30,13
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,330,11,11,1,89*,33.00,253,130.43,0,1,31,17
David Warner,DC,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,324,13,13,0,77,24.92,276,117.39,0,3,34,11
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,312,16,13,4,65,34.66,243,128.39,0,2,21,14
Mahela Jayawardena,KTK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,299,13,13,0,76,23.00,257,116.34,0,3,35,5
Jesse Ryder,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,292,13,13,0,60,22.46,197,148.22,0,2,37,11
Brad Hodge,KTK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,285,14,14,6,51*,35.62,236,120.76,0,1,26,9
Ravindra Jadeja,KTK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,283,14,12,3,47,31.44,228,124.12,0,0,20,14
Yusuf Pathan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,283,15,11,1,47*,28.30,201,140.79,0,0,24,13
Dinesh Karthik,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,282,14,13,2,69,25.63,220,128.18,0,1,32,7
Robin Uthappa,PWI,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,264,14,13,3,45,26.40,209,126.31,0,0,27,10
Sunny Sohal,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,249,11,10,0,62,24.90,191,130.36,0,2,25,10
Manish Pandey,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,246,10,9,0,59,27.33,227,108.37,0,1,28,6
Johan Botha,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,230,10,9,4,67*,46.00,198,116.16,0,1,20,2
Tillakaratne Dilshan,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,226,10,10,2,59*,28.25,180,125.55,0,2,33,3
Bharat Chipli,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,207,14,13,5,61*,25.87,170,121.76,0,1,21,4
JP Duminy,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,205,10,10,0,55,20.50,174,117.81,0,1,9,8
Parthiv Patel,KTK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,202,14,13,3,37*,20.20,183,110.38,0,0,25,2
James Hopes,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,196,10,8,3,55,39.20,158,124.05,0,2,22,3
Dan Christian,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,190,14,13,2,30,17.27,159,119.49,0,0,9,7
Saurabh Tiwary,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,187,16,13,5,42*,23.37,188,99.46,0,0,13,5
Dwaraka Ravi Teja,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,183,12,9,2,60,26.14,144,127.08,0,1,17,4
Ross Taylor,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,181,12,11,6,47*,36.20,152,119.07,0,0,11,7
Ashok Menaria,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,180,13,10,1,34,20.00,152,118.42,0,0,10,10
Naman Ojha,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,160,14,14,1,29,12.30,161,99.37,0,0,11,11
Irfan Pathan,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,150,14,12,4,44*,18.75,138,108.69,0,0,12,6
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,146,16,13,3,28,14.60,133,109.77,0,0,12,6
Mayank Agarwal,RCB,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png?v=1,141,8,7,0,41,20.14,120,117.50,0,0,16,4
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,138,15,13,7,30*,23.00,102,135.29,0,0,8,8
Eoin Morgan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,137,12,9,0,66,15.22,117,117.09,0,1,17,3
Andrew Symonds,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,135,11,9,5,44*,33.75,138,97.82,0,0,9,3
Aiden Blizzard,MI,https://scores.iplt20.com/ipl/playerimages/Aiden Blizzard.png?v=1,120,6,6,0,51,20.00,87,137.93,0,1,21,2
Ajinkya Rahane,RR,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,120,10,7,1,52,20.00,98,122.44,0,1,12,2
Mithun Manhas,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,114,10,10,0,35,11.40,123,92.68,0,0,8,4
Yogesh Nagar,DC,https://scores.iplt20.com/ipl/playerimages/Yogesh Nagar.png?v=1,111,11,10,3,23,15.85,100,111.00,0,0,6,6
Ryan ten Doeschate,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,107,6,3,1,70*,53.50,73,146.57,0,1,9,5
James Franklin,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,107,8,5,3,45*,53.50,78,137.17,0,0,10,2
Cameron White,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,104,6,6,2,31*,26.00,109,95.41,0,0,6,2
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,103,15,8,5,30,34.33,71,145.07,0,0,9,6
Davy Jacobs,MI,https://scores.iplt20.com/ipl/playerimages/Davy Jacobs.png?v=1,92,6,6,0,32,15.33,88,104.54,0,0,10,4
Ryan McLaren,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,90,6,4,1,51*,30.00,96,93.75,0,1,7,1
Srikkanth Anirudha,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,83,9,5,1,64,20.75,74,112.16,0,1,6,3
Travis Birt,DC,https://scores.iplt20.com/ipl/playerimages/Travis Birt.png?v=1,75,5,5,0,27,15.00,58,129.31,0,0,9,2
Michael Klinger,KTK,https://scores.iplt20.com/ipl/playerimages/Michael Klinger.png?v=1,73,4,4,0,29,18.25,77,94.80,0,0,9,0
Manvinder Bisla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,72,5,5,0,27,14.40,89,80.89,0,0,8,0
