player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Shubman Gill,GT,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png?v=1,890,17,17,2,129,59.33,564,157.80,3,4,85,33
Faf Du Plessis,RCB,https://scores.iplt20.com/ipl/playerimages/Faf Du Plessis.png?v=1,730,14,14,1,84,56.15,475,153.68,0,8,60,36
Devon Conway,CSK,https://scores.iplt20.com/ipl/playerimages/Devon Conway.png?v=1,672,16,15,2,92*,51.69,481,139.70,0,6,77,18
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,639,14,14,2,101*,53.25,457,139.82,2,6,65,16
Yashasvi Jaiswal,RR,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png?v=1,625,14,14,1,124,48.08,382,163.61,1,5,82,26
Suryakumar Yadav,MI,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png?v=1,605,16,16,2,103*,43.21,334,181.13,1,5,65,28
Ruturaj Gaikwad,CSK,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png?v=1,590,16,15,1,92,42.14,400,147.50,0,4,46,30
David Warner,DC,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,516,14,14,0,86,36.86,392,131.63,0,6,69,10
Rinku Singh,KKR,https://scores.iplt20.com/ipl/playerimages/Rinku Singh.png?v=1,474,14,14,6,67*,59.25,317,149.52,0,4,31,29
Ishan Kishan,MI,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png?v=1,454,15,15,0,75,30.27,318,142.76,0,3,54,18
Cameron Green,MI,https://scores.iplt20.com/ipl/playerimages/Cameron Green.png?v=1,452,16,16,7,100*,50.22,282,160.28,1,2,40,22
Heinrich Klaasen,SRH,https://scores.iplt20.com/ipl/playerimages/Heinrich Klaasen.png?v=1,448,12,11,2,104,49.78,253,177.07,1,2,32,25
Shivam Dube,CSK,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png?v=1,418,16,14,3,52,38.00,264,158.33,0,3,12,35
Nitish Rana,KKR,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=1,413,14,14,1,75,31.77,293,140.95,0,3,39,20
