player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,32,18, 18, 62,497,4/22,15.53,7.95, 11.71 ,1,0
James Faulkner,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,28,16, 16, 63,427,5/16,15.25,6.75, 13.53 ,0,2
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,24,19, 19, 70,456,5/18,19.00,6.51, 17.50 ,0,0
Mitchell Johnson,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,24,17, 17, 64,459,3/26,19.12,7.17, 16.00 ,0,0
Vinay Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,23,16, 16, 60,493,4/40,21.43,8.19, 15.69 ,0,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,22,16, 16, 64,350,5/19,15.90,5.46, 17.45 ,2,0
Amit Mishra,SRH,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,21,17, 17, 62,394,5/17,18.76,6.35, 17.71 ,1,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/playerimages/Lasith Malinga.png?v=1,20,17, 17, 65,468,5/13,23.40,7.16, 19.60 ,0,0
Mohit Sharma,CSK,https://scores.iplt20.com/ipl/playerimages/Mohit Sharma.png?v=1,20,15, 15, 50,326,4/14,16.30,6.43, 15.20 ,0,0
Dale Steyn,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,17, 17, 68,384,3/11,20.21,5.66, 21.42 ,0,0
Kevon Cooper,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,14, 14, 54,449,4/26,23.63,8.31, 17.05 ,0,0
Thisara Perera,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,16, 16, 59,478,3/20,25.15,8.01, 18.84 ,0,0
Ashok Dinda,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,13, 13, 49,465,4/18,29.06,9.48, 18.37 ,0,0
Jacques Kallis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,16, 15, 53,394,3/13,24.62,7.43, 19.87 ,0,0
Pragyan Ojha,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,16, 15, 52,381,3/11,23.81,7.28, 19.62 ,0,0
