player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Mohit Sharma,CSK,https://scores.iplt20.com/ipl/playerimages/Mohit Sharma.png?v=1,23,16, 16, 54,452,4/14,19.65,8.39, 14.04 ,1,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,21,16, 16, 64,407,5/19,19.38,6.35, 18.28 ,2,0
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png?v=1,20,14, 14, 53,354,5/19,17.70,6.65, 15.95 ,1,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,19,16, 16, 54,443,5/16,23.31,8.15, 17.15 ,2,0
Sandeep Sharma,PBKS,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,18,11, 11, 40,354,4/20,19.66,8.81, 13.38 ,0,0
Mitchell Johnson,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,14, 14, 53,444,3/26,26.11,8.29, 18.88 ,0,0
Axar Patel,PBKS,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,17,17, 17, 66,405,4/21,23.82,6.13, 23.29 ,0,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/playerimages/Lasith Malinga.png?v=1,16,10, 10, 39,253,5/13,15.81,6.45, 14.68 ,1,0
Varun Aaron,RCB,https://scores.iplt20.com/ipl/playerimages/Varun Aaron.png?v=1,16,10, 10, 36,299,3/16,18.68,8.15, 13.75 ,0,0
Ravichandran Ashwin,CSK,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=1,16,16, 16, 60,437,4/34,27.31,7.30, 22.43 ,0,0
Karn Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Karn Sharma.png?v=1,15,14, 14, 50,376,4/16,25.06,7.42, 20.26 ,1,0
Pravin Tambe,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,13, 13, 49,356,4/20,23.73,7.26, 19.60 ,1,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,14,14, 14, 55,356,5/18,25.42,6.47, 23.57 ,0,0
Piyush Chawla,KKR,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,14,11, 11, 39,303,4/17,21.64,7.67, 16.92 ,0,0
Mitchell Starc,RCB,https://scores.iplt20.com/ipl/playerimages/Mitchell Starc.png?v=1,14,14, 14, 53,402,4/15,28.71,7.49, 23.00 ,0,0
Rishi Dhawan,PBKS,https://scores.iplt20.com/ipl/playerimages/Rishi Dhawan.png?v=1,13,13, 13, 47,365,2/14,28.07,7.71, 21.84 ,0,0
Rajat Bhatia,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,12, 12, 38,283,4/15,23.58,7.44, 19.00 ,0,0
Morne Morkel,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,12, 12, 48,367,4/20,30.58,7.64, 24.00 ,0,0
Lakshmipathy Balaji,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,9, 9, 34,299,5/24,24.91,8.79, 17.00 ,1,0
Yuzvendra Chahal,RCB,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,12,14, 14, 55,386,4/25,32.16,7.01, 27.50 ,0,0
Shakib Al Hasan,KKR,https://scores.iplt20.com/ipl/playerimages/Shakib Al Hasan.png?v=1,11,13, 13, 50,334,3/17,30.36,6.68, 27.27 ,0,0
James Faulkner,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,13, 13, 43,419,5/16,38.09,9.74, 23.45 ,0,0
Dale Steyn,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,14, 14, 56,431,3/11,39.18,7.69, 30.54 ,0,0
Umesh Yadav,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,12, 12, 45,367,4/24,33.36,8.15, 24.54 ,0,0
Karanveer Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,5, 5, 20,164,4/54,14.90,8.20, 10.90 ,1,0
Imran Tahir,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,6, 6, 21,171,4/12,19.00,8.20, 13.88 ,0,0
Jaydev Unadkat,DC,https://scores.iplt20.com/ipl/playerimages/Jaydev Unadkat.png?v=1,9,9, 9, 31,270,5/25,30.00,8.66, 20.77 ,0,0
Kane Richardson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,7, 7, 27,206,3/13,22.88,7.62, 18.00 ,0,0
Ashish Nehra,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,4, 4, 15,142,4/10,17.75,9.46, 11.25 ,0,0
