player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Mohammad Shami,GT,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,28,17, 17, 65.0,522,11/4,18.64,8.03, 13.92 ,2,0
Mohit Sharma,GT,https://scores.iplt20.com/ipl/playerimages/Mohit Sharma.png?v=1,27,14, 14, 44.1,361,10/5,13.37,8.17, 9.81 ,2,1
Rashid Khan,GT,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,27,17, 17, 67.0,552,30/4,20.44,8.23, 14.88 ,1,0
Piyush Chawla,MI,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,22,16, 16, 61.0,495,22/3,22.50,8.11, 16.63 ,0,0
Yuzvendra Chahal,RR,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,21,14, 14, 52.5,432,17/4,20.57,8.17, 15.09 ,3,0
Tushar Deshpande,CSK,https://scores.iplt20.com/ipl/playerimages/Tushar Deshpande.png?v=1,21,16, 16, 56.5,564,45/3,26.85,9.92, 16.23 ,0,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,20,16, 16, 57.0,431,20/3,21.55,7.56, 17.10 ,0,0
Varun Chakaravarthy,KKR,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png?v=1,20,14, 14, 52.4,429,15/4,21.45,8.14, 15.80 ,1,0
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,19,14, 14, 50.0,376,21/4,19.78,7.52, 15.78 ,1,0
Matheesha Pathirana,CSK,https://scores.iplt20.com/ipl/playerimages/Matheesha Pathirana.png?v=1,19,12, 12, 46.2,371,15/3,19.52,8.00, 14.63 ,0,0
Arshdeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png?v=1,17,14, 14, 50.5,493,29/4,29.00,9.69, 17.94 ,1,0
Ravi Bishnoi,LSG,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png?v=1,16,15, 14, 50.3,391,28/3,24.43,7.74, 18.93 ,0,0
Noor Ahmad,GT,https://scores.iplt20.com/ipl/playerimages/Noor Ahmad.png?v=1,16,13, 13, 47.1,369,37/3,23.06,7.82, 17.68 ,0,0
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png?v=1,16,14, 14, 51.0,425,30/5,26.56,8.33, 19.12 ,0,1
Ravichandran Ashwin,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,13, 13, 49.0,368,23/2,26.28,7.51, 21.00 ,0,0
Akash Madhwal,MI,https://scores.iplt20.com/ipl/playerimages/Akash Madhwal.png?v=1,14,8, 8, 25.3,219,5/5,15.64,8.58, 10.92 ,1,1
Jason Behrendorff,MI,https://scores.iplt20.com/ipl/playerimages/Jason Behrendorff.png?v=1,14,12, 12, 42.0,387,23/3,27.64,9.21, 18.00 ,0,0
Harshal Patel,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,13, 13, 47.0,454,32/3,32.42,9.65, 20.14 ,0,0
Trent Boult,RR,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,13,10, 10, 38.0,312,29/3,24.00,8.21, 17.53 ,0,0
Deepak Chahar,CSK,https://scores.iplt20.com/ipl/playerimages/Deepak Chahar.png?v=1,13,10, 10, 34.0,297,22/3,22.84,8.73, 15.69 ,0,0
Nathan Ellis,PBKS,https://scores.iplt20.com/ipl/playerimages/Nathan Ellis.png?v=1,13,10, 10, 38.0,339,30/4,26.07,8.92, 17.53 ,1,0
