player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Kulwant Khejroliya,RCB,https://scores.iplt20.com/ipl/playerimages/Kulwant Khejroliya.png?v=1,1,2, 2, 5,47,2/33,47.00,9.40, 30.00 ,0,0
Krishnappa Gowtham,RR,https://scores.iplt20.com/ipl/playerimages/Krishnappa Gowtham.png?v=1,1,7, 7, 20,166,2/12,166.00,8.30, 120.00 ,0,0
Tim Southee,RCB,https://scores.iplt20.com/ipl/playerimages/Tim Southee.png?v=1,1,3, 3, 9,118,3/24,118.00,13.11, 54.00 ,0,0
Karn Sharma,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 3,33,4/16,33.00,11.64, 17.00 ,0,0
Stuart Binny,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,8, 5, 7,44,2/14,44.00,6.28, 42.00 ,0,0
Anukul Roy,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 2,11,1/11,11.00,5.50, 12.00 ,0,0
Mohit Sharma,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 3,27,4/14,27.00,9.00, 18.00 ,0,0
Sherfane Rutherford,DC,https://scores.iplt20.com/ipl/playerimages/Sherfane Rutherford.png?v=1,1,7, 6, 7,59,1/6,59.00,8.63, 41.00 ,0,0
Ben Cutting,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 1, 2,27,2/20,27.00,13.50, 12.00 ,0,0
Jayant Yadav,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 7,50,1/23,50.00,7.14, 42.00 ,0,0
Prithvi Raj Yarra,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 5,57,1/29,57.00,11.40, 30.00 ,0,0
