player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Lasith Malinga,MI,https://scores.iplt20.com/ipl/playerimages/Lasith Malinga.png?v=1,28,16, 16, 63,375,5/13,13.39,5.95, 13.50 ,0,1
Munaf Patel,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,22,15, 15, 54,358,5/21,16.27,6.58, 14.81 ,0,1
Sreenath Aravind,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,21,13, 13, 46,368,4/14,17.52,8.00, 13.14 ,1,0
Ravichandran Ashwin,CSK,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=1,20,16, 16, 63,388,4/34,19.40,6.15, 18.90 ,0,0
Amit Mishra,DEC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,19,14, 14, 53,358,5/17,18.84,6.71, 16.84 ,1,0
Doug Bollinger,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,13, 13, 47,329,4/13,19.35,7.00, 16.58 ,0,0
Iqbal Abdulla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,15, 15, 50,305,3/24,19.06,6.10, 18.75 ,0,0
Ryan Harris,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,13, 13, 47,382,4/34,23.87,8.12, 17.62 ,0,0
Rahul Sharma,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,14, 14, 50,273,3/13,17.06,5.46, 18.75 ,0,0
Piyush Chawla,PBKS,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,16,12, 12, 41,336,4/17,21.00,8.12, 15.50 ,1,0
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,15, 14, 45,382,4/32,25.46,8.48, 18.00 ,0,0
Dale Steyn,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,12, 12, 45,299,3/11,21.35,6.57, 19.50 ,0,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,14,15, 15, 53,370,5/18,26.42,6.98, 22.71 ,0,1
