player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,741,15,15,3,113*,61.75,479,154.69,1,5,62,38
Ruturaj Gaikwad,CSK,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png?v=1,583,14,14,3,108*,53.00,413,141.16,1,4,58,18
Riyan Parag,RR,https://scores.iplt20.com/ipl/playerimages/Riyan Parag.png?v=1,573,16,14,3,84*,52.09,384,149.21,0,4,40,33
Travis Head,SRH,https://scores.iplt20.com/ipl/playerimages/Travis Head.png?v=1,567,15,15,1,102,40.50,296,191.55,1,4,64,32
Sanju Samson,RR,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png?v=1,531,16,15,4,86,48.27,346,153.46,0,5,48,24
Sai Sudharsan,GT,https://scores.iplt20.com/ipl/playerimages/Sai Sudharsan.png?v=1,527,12,12,1,103,47.91,373,141.28,1,2,48,16
K L Rahul,LSG,https://scores.iplt20.com/ipl/playerimages/K L Rahul.png?v=1,520,14,14,0,82,37.14,382,136.12,0,4,45,19
Nicholas Pooran,LSG,https://scores.iplt20.com/ipl/playerimages/Nicholas Pooran.png?v=1,499,14,14,6,75,62.38,280,178.21,0,3,35,36
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,488,15,14,0,109,34.86,270,180.74,1,3,50,33
Abhishek Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png?v=1,484,16,16,1,75*,32.27,237,204.21,0,3,36,42
Heinrich Klaasen,SRH,https://scores.iplt20.com/ipl/playerimages/Heinrich Klaasen.png?v=1,479,16,15,3,80*,39.92,280,171.07,0,4,19,38
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,446,13,13,2,88*,40.55,287,155.40,0,3,36,25
Faf Du Plessis,RCB,https://scores.iplt20.com/ipl/playerimages/Faf Du Plessis.png?v=1,438,15,15,0,64,29.20,271,161.62,0,4,47,21
Phil Salt,KKR,https://scores.iplt20.com/ipl/playerimages/Phil Salt.png?v=1,435,12,12,1,89*,39.55,239,182.00,0,4,50,24
Yashasvi Jaiswal,RR,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png?v=1,435,16,15,1,104*,31.07,279,155.91,1,1,54,16
