player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Michael Hussey,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,733,17,17,3,95,52.35,566,129.50,0,6,81,17
Chris Gayle,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,708,16,16,4,175*,59.00,453,156.29,1,4,57,51
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,634,16,16,2,99,45.28,457,138.73,0,6,64,22
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,548,18,17,4,100*,42.15,365,150.13,1,4,50,18
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,543,16,16,2,101,38.78,380,142.89,1,2,59,22
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,538,19,19,5,79*,38.42,409,131.54,0,4,35,28
Dinesh Karthik,MI,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png?v=1,510,19,19,1,86,28.33,411,124.08,0,2,54,14
Ajinkya Rahane,RR,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,488,18,18,4,68*,34.85,458,106.55,0,4,42,11
Rahul Dravid,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,471,18,17,1,65,29.43,425,110.82,0,4,64,5
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,461,18,16,5,67*,41.90,283,162.89,0,4,32,25
Aaron Finch,PWI,https://scores.iplt20.com/ipl/playerimages/Aaron Finch.png?v=1,456,14,14,0,67,32.57,336,135.71,0,4,54,16
Robin Uthappa,PWI,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,434,16,16,0,75,27.12,371,116.98,0,2,42,12
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,420,18,18,8,66*,42.00,281,149.46,0,3,27,29
David Miller,PBKS,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=1,418,12,12,5,101*,59.71,254,164.56,1,3,28,24
Dwayne Smith,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,418,13,13,0,68,32.15,341,122.58,0,4,40,19
David Warner,DC,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,410,16,16,3,77,31.53,323,126.93,0,4,41,14
Gautam Gambhir,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,406,16,16,0,60,25.37,343,118.36,0,4,51,5
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,360,14,14,4,64,36.00,219,164.38,0,2,34,15
Yusuf Pathan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,332,16,16,5,72,30.18,240,138.33,0,1,30,14
Mahela Jayawardena,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,331,15,15,0,66,22.06,313,105.75,0,2,39,6
Murali Vijay,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,312,15,15,1,55,22.28,286,109.09,0,2,27,8
Shikhar Dhawan,SRH,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,311,10,10,2,73*,38.87,253,122.92,0,3,37,5
Jacques Kallis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,311,16,16,1,41,20.73,322,96.58,0,0,35,3
Eoin Morgan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,307,14,13,2,51,27.90,240,127.91,0,1,28,13
Shaun Marsh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,300,8,8,0,77,37.50,249,120.48,0,3,39,4
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,295,13,13,1,95*,24.58,233,126.60,0,1,41,6
Adam Gilchrist,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,294,13,13,1,85*,24.50,229,128.38,0,1,41,6
Parthiv Patel,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,294,13,13,0,61,22.61,255,115.29,0,1,37,4
Brad Hodge,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,293,17,14,7,54*,41.85,218,134.40,0,1,27,9
Stuart Binny,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,293,17,16,7,41*,32.55,199,147.23,0,0,25,12
Sachin Tendulkar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,287,14,14,1,54,22.07,231,124.24,0,1,38,5
Ambati Rayudu,MI,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,265,19,17,3,37,18.92,231,114.71,0,0,22,4
Mandeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Mandeep Singh.png?v=1,260,16,14,1,77*,20.00,223,116.59,0,1,36,0
Manvinder Bisla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,255,14,14,1,92,19.61,236,108.05,0,2,36,6
Hanuma Vihari,SRH,https://scores.iplt20.com/ipl/playerimages/Hanuma Vihari.png?v=1,241,17,17,3,46,17.21,278,86.69,0,0,17,1
Yuvraj Singh,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,238,13,13,1,34,19.83,190,125.26,0,0,14,15
David Hussey,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,235,12,11,1,41,23.50,209,112.44,0,0,20,6
Thisara Perera,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,233,16,14,4,40,23.30,163,142.94,0,0,12,14
Cameron White,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,209,13,13,1,52,17.41,191,109.42,0,1,18,7
Sanju Samson,RR,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png?v=1,206,11,10,2,63,25.75,178,115.73,0,1,19,5
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,201,18,14,6,38*,25.12,135,148.88,0,0,17,6
Azhar Mahmood,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,196,11,10,0,80,19.60,154,127.27,0,2,22,5
Ben Rohrer,DC,https://scores.iplt20.com/ipl/playerimages/Ben Rohrer.png?v=1,193,8,8,2,64*,32.16,140,137.85,0,1,21,5
Darren Sammy,SRH,https://scores.iplt20.com/ipl/playerimages/Darren Sammy.png?v=1,174,10,9,3,60,29.00,132,131.81,0,1,11,10
Angelo Mathews,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,172,11,10,3,40,24.57,139,123.74,0,0,5,10
Moises Henriques,RCB,https://scores.iplt20.com/ipl/playerimages/Moises Henriques.png?v=1,165,10,9,5,44,41.25,125,132.00,0,0,20,3
Manan Vohra,PBKS,https://scores.iplt20.com/ipl/playerimages/Manan Vohra.png?v=1,161,12,10,2,43*,20.12,117,137.60,0,0,22,2
