player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Andrew Tye,PBKS,https://scores.iplt20.com/ipl/playerimages/Andrew Tye.png?v=1,24,14, 14, 56,448,5/17,18.66,8.00, 14.00 ,3,0
Siddarth Kaul,SRH,https://scores.iplt20.com/ipl/playerimages/Siddarth Kaul.png?v=1,21,17, 17, 66,547,4/29,26.04,8.28, 18.85 ,0,0
Rashid Khan,SRH,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,21,17, 17, 68,458,3/19,21.80,6.73, 19.42 ,0,0
Umesh Yadav,RCB,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png?v=1,20,14, 14, 53,418,4/24,20.90,7.86, 15.95 ,0,0
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,18,13, 13, 42,381,3/20,21.16,8.92, 14.22 ,0,0
Trent Boult,DC,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,18,14, 14, 52,466,4/18,25.88,8.84, 17.55 ,0,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/playerimages/Jasprit Bumrah.png?v=1,17,14, 14, 54,372,4/14,21.88,6.88, 19.05 ,0,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,17,16, 16, 61,467,5/19,27.47,7.65, 21.52 ,0,0
Kuldeep Yadav,KKR,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png?v=1,17,16, 16, 51,418,4/20,24.58,8.14, 18.11 ,1,0
Shardul Thakur,CSK,https://scores.iplt20.com/ipl/playerimages/Shardul Thakur.png?v=1,16,13, 13, 46,431,3/19,26.93,9.23, 17.50 ,0,0
Jofra Archer,RR,https://scores.iplt20.com/ipl/playerimages/Jofra Archer.png?v=1,15,10, 10, 39,325,3/15,21.66,8.36, 15.53 ,0,0
Mayank Markande,MI,https://scores.iplt20.com/ipl/playerimages/Mayank Markande.png?v=1,15,14, 14, 44,368,4/23,24.53,8.36, 17.60 ,1,0
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,14,16, 16, 53,533,4/22,38.07,9.96, 22.92 ,0,0
Mitchell McClenaghan,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,11, 11, 40,332,4/21,23.71,8.30, 17.14 ,0,0
Mujeeb Ur Rahman,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,11, 11, 41,289,3/27,20.64,6.99, 17.71 ,0,0
Piyush Chawla,KKR,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,14,15, 15, 49,412,4/17,29.42,8.40, 21.00 ,0,0
Shakib Al Hasan,SRH,https://scores.iplt20.com/ipl/playerimages/Shakib Al Hasan.png?v=1,14,17, 17, 57,456,3/17,32.57,8.00, 24.42 ,0,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,13,16, 15, 38,355,5/15,27.30,9.38, 17.46 ,0,0
Sandeep Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,12,12, 12, 44,333,4/20,27.75,7.56, 22.00 ,0,0
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,12,14, 13, 40,284,3/14,23.66,7.07, 20.08 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,12,10, 10, 37,264,5/17,22.00,7.13, 18.50 ,0,0
Yuzvendra Chahal,RCB,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,12,14, 14, 50,363,4/25,30.25,7.26, 25.00 ,0,0
Ankit Rajpoot,PBKS,https://scores.iplt20.com/ipl/playerimages/Ankit Rajpoot.png?v=1,11,8, 8, 26,223,5/14,20.27,8.52, 14.27 ,0,1
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,11,11, 11, 41,367,4/32,33.36,8.95, 22.36 ,0,0
Lungi Ngidi ,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,7, 7, 26,156,4/10,14.18,6.00, 14.18 ,1,0
Krishnappa Gowtham,RR,https://scores.iplt20.com/ipl/playerimages/Krishnappa Gowtham.png?v=1,11,15, 15, 40,312,2/12,28.36,7.80, 21.81 ,0,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,11,16, 14, 41,303,5/16,27.54,7.39, 22.36 ,0,0
Jaydev Unadkat,RR,https://scores.iplt20.com/ipl/playerimages/Jaydev Unadkat.png?v=1,11,15, 15, 50,486,5/25,44.18,9.65, 27.45 ,0,0
Shreyas Gopal,RR,https://scores.iplt20.com/ipl/playerimages/Shreyas Gopal.png?v=1,11,11, 10, 31,236,4/16,21.45,7.61, 16.90 ,1,0
Deepak Chahar,CSK,https://scores.iplt20.com/ipl/playerimages/Deepak Chahar.png?v=1,10,12, 12, 38,278,4/13,27.80,7.28, 22.90 ,0,0
