player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Harshal Patel,PBKS,https://scores.iplt20.com/ipl/playerimages/Harshal Patel.png?v=1,24,14, 14, 49.0,477,15/3,19.87,9.73, 12.25 ,0,0
Varun Chakaravarthy,KKR,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png?v=1,21,15, 14, 50.0,402,16/3,19.14,8.04, 14.28 ,0,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/playerimages/Jasprit Bumrah.png?v=1,20,13, 13, 51.5,336,21/5,16.80,6.48, 15.55 ,0,1
T Natarajan,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,14, 14, 51.2,465,19/4,24.47,9.05, 16.21 ,1,0
Harshit Rana,KKR,https://scores.iplt20.com/ipl/playerimages/Harshit Rana.png?v=1,19,13, 11, 42.1,383,24/3,20.15,9.08, 13.31 ,0,0
Avesh Khan,RR,https://scores.iplt20.com/ipl/playerimages/Avesh Khan.png?v=1,19,16, 15, 54.5,526,27/3,27.68,9.59, 17.31 ,0,0
Arshdeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png?v=1,19,14, 14, 50.2,505,29/4,26.57,10.03, 15.89 ,1,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,19,15, 14, 29.2,295,19/3,15.52,10.05, 9.26 ,0,0
Pat Cummins,SRH,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png?v=1,18,16, 16, 61.0,566,43/3,31.44,9.27, 20.33 ,0,0
Yuzvendra Chahal,RR,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,18,15, 15, 58.0,546,11/3,30.33,9.41, 19.33 ,0,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,17,15, 14, 55.0,368,22/2,21.64,6.69, 19.41 ,0,0
Tushar Deshpande,CSK,https://scores.iplt20.com/ipl/playerimages/Tushar Deshpande.png?v=1,17,13, 13, 48.0,424,27/4,24.94,8.83, 16.94 ,1,0
Khaleel Ahmed,DC,https://scores.iplt20.com/ipl/playerimages/Khaleel Ahmed.png?v=1,17,14, 14, 50.0,479,21/2,28.17,9.58, 17.64 ,0,0
Mukesh Kumar,DC,https://scores.iplt20.com/ipl/playerimages/Mukesh Kumar.png?v=1,17,10, 10, 35.3,368,14/3,21.64,10.36, 12.52 ,0,0
Mitchell Starc,KKR,https://scores.iplt20.com/ipl/playerimages/Mitchell Starc.png?v=1,17,14, 13, 41.5,444,33/4,26.11,10.61, 14.76 ,1,0
Trent Boult,RR,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,16,16, 15, 53.2,443,22/3,27.68,8.30, 20.00 ,0,0
Kuldeep Yadav,DC,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png?v=1,16,11, 11, 43.0,374,55/4,23.37,8.69, 16.12 ,1,0
Sam Curran,PBKS,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png?v=1,16,13, 13, 41.0,416,28/3,26.00,10.14, 15.37 ,0,0
Yash Dayal,RCB,https://scores.iplt20.com/ipl/playerimages/Yash Dayal.png?v=1,15,14, 14, 50.1,459,20/3,30.60,9.14, 20.06 ,0,0
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,15,14, 14, 54.0,496,43/3,33.06,9.18, 21.60 ,0,0
Mustafizur Rahman,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,9, 9, 34.2,318,29/4,22.71,9.26, 14.71 ,1,0
Naveen-Ul-Haq,LSG,https://scores.iplt20.com/ipl/playerimages/Naveen-Ul-Haq.png?v=1,14,10, 10, 36.3,372,49/3,26.57,10.19, 15.64 ,0,0
Matheesha Pathirana,CSK,https://scores.iplt20.com/ipl/playerimages/Matheesha Pathirana.png?v=1,13,6, 6, 22.0,169,28/4,13.00,7.68, 10.15 ,1,0
Sandeep Sharma,RR,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,13,11, 10, 38.0,311,18/5,23.92,8.18, 17.53 ,0,1
Piyush Chawla,MI,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,13,11, 11, 35.0,312,29/3,24.00,8.91, 16.15 ,0,0
Gerald Coetzee,MI,https://scores.iplt20.com/ipl/playerimages/Gerald Coetzee.png?v=1,13,10, 10, 33.3,341,34/4,26.23,10.17, 15.46 ,1,0
Mohit Sharma,GT,https://scores.iplt20.com/ipl/playerimages/Mohit Sharma.png?v=1,13,12, 11, 39.0,425,25/3,32.69,10.89, 18.00 ,0,0
Axar Patel,DC,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,11,14, 14, 44.0,337,25/2,30.63,7.65, 24.00 ,0,0
Kagiso Rabada,PBKS,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png?v=1,11,11, 11, 42.0,372,18/2,33.81,8.85, 22.90 ,0,0
Vaibhav Arora,KKR,https://scores.iplt20.com/ipl/playerimages/Vaibhav Arora.png?v=1,11,10, 10, 30.0,276,27/3,25.09,9.20, 16.36 ,0,0
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png?v=1,11,16, 16, 57.0,533,41/3,48.45,9.35, 31.09 ,0,0
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,11,14, 12, 36.0,387,31/3,35.18,10.75, 19.63 ,0,0
Yash Thakur,LSG,https://scores.iplt20.com/ipl/playerimages/Yash Thakur.png?v=1,11,10, 10, 35.3,402,30/5,36.54,11.32, 19.36 ,0,1
Rashid Khan,GT,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,10,12, 12, 43.4,367,38/2,36.70,8.40, 26.20 ,0,0
Cameron Green,RCB,https://scores.iplt20.com/ipl/playerimages/Cameron Green.png?v=1,10,13, 13, 35.1,303,12/2,30.30,8.61, 21.10 ,0,0
Ravi Bishnoi,LSG,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png?v=1,10,14, 14, 43.4,383,25/2,38.30,8.77, 26.20 ,0,0
Rahul Chahar,PBKS,https://scores.iplt20.com/ipl/playerimages/Rahul Chahar.png?v=1,10,9, 9, 31.0,279,23/3,27.90,9.00, 18.60 ,0,0
Ishant Sharma,DC,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png?v=1,10,9, 9, 27.0,265,34/3,26.50,9.81, 16.20 ,0,0
Mohsin Khan,LSG,https://scores.iplt20.com/ipl/playerimages/Mohsin Khan.png?v=1,10,9, 10, 38.0,385,29/2,38.50,10.13, 22.80 ,0,0
Ravichandran Ashwin,RR,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=1,9,15, 14, 55.0,467,24/3,51.88,8.49, 36.66 ,0,0
Lockie Ferguson,RCB,https://scores.iplt20.com/ipl/playerimages/Lockie Ferguson.png?v=1,9,7, 7, 24.0,255,23/2,28.33,10.62, 16.00 ,0,0
Rasikh Salam,DC,https://scores.iplt20.com/ipl/playerimages/Rasikh Salam.png?v=1,9,8, 8, 24.3,269,34/3,29.88,10.97, 16.33 ,0,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,8,14, 14, 47.0,369,18/3,46.12,7.85, 35.25 ,0,0
Noor Ahmad,GT,https://scores.iplt20.com/ipl/playerimages/Noor Ahmad.png?v=1,8,10, 10, 34.5,290,20/2,36.25,8.32, 26.12 ,0,0
Nuwan Thushara,MI,https://scores.iplt20.com/ipl/playerimages/Nuwan Thushara.png?v=1,8,7, 7, 26.0,257,28/3,32.12,9.88, 19.50 ,0,0
Umesh Yadav,GT,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png?v=1,8,7, 7, 21.0,210,22/2,26.25,10.00, 15.75 ,0,0
Jaydev Unadkat,SRH,https://scores.iplt20.com/ipl/playerimages/Jaydev Unadkat.png?v=1,8,11, 11, 31.1,319,30/3,39.87,10.23, 23.37 ,0,0
Mayank Markande,SRH,https://scores.iplt20.com/ipl/playerimages/Mayank Markande.png?v=1,8,7, 7, 22.0,259,26/2,32.37,11.77, 16.50 ,0,0
Mayank Yadav,LSG,https://scores.iplt20.com/ipl/playerimages/Mayank Yadav.png?v=1,7,4, 4, 12.1,85,14/3,12.14,6.98, 10.42 ,0,0
Harpreet Brar,PBKS,https://scores.iplt20.com/ipl/playerimages/Harpreet Brar.png?v=1,7,13, 13, 38.0,303,13/2,43.28,7.97, 32.57 ,0,0
Nandre Burger,RR,https://scores.iplt20.com/ipl/playerimages/Nandre Burger.png?v=1,7,6, 5, 17.0,145,29/2,20.71,8.52, 14.57 ,0,0
Sai Kishore,GT,https://scores.iplt20.com/ipl/playerimages/Sai Kishore.png?v=1,7,5, 5, 15.0,137,33/4,19.57,9.13, 12.85 ,1,0
Shahbaz Ahmed,SRH,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png?v=1,7,16, 15, 27.3,270,23/3,38.57,9.81, 23.57 ,0,0
Karn Sharma,RCB,https://scores.iplt20.com/ipl/playerimages/Karn Sharma.png?v=1,7,9, 9, 24.0,254,29/2,36.28,10.58, 20.57 ,0,0
Anrich Nortje,DC,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png?v=1,7,6, 6, 22.0,294,59/3,42.00,13.36, 18.85 ,0,0
Krunal Pandya,LSG,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,6,14, 12, 33.0,255,11/3,42.50,7.72, 33.00 ,0,0
Glenn Maxwell,RCB,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,6,10, 6, 16.0,129,23/2,21.50,8.06, 16.00 ,0,0
Swapnil Singh,RCB,https://scores.iplt20.com/ipl/playerimages/Swapnil Singh.png?v=1,6,7, 7, 15.0,133,28/2,22.16,8.86, 15.00 ,0,0
Kuldeep Sen,RR,https://scores.iplt20.com/ipl/playerimages/Kuldeep Sen.png?v=1,6,3, 3, 12.0,122,41/3,20.33,10.16, 12.00 ,0,0
Sandeep Warrier,GT,https://scores.iplt20.com/ipl/playerimages/Sandeep Warrier.png?v=1,6,5, 5, 11.0,119,15/3,19.83,10.81, 11.00 ,0,0
Deepak Chahar,CSK,https://scores.iplt20.com/ipl/playerimages/Deepak Chahar.png?v=1,5,8, 8, 23.3,202,28/2,40.40,8.59, 28.20 ,0,0
Shardul Thakur,CSK,https://scores.iplt20.com/ipl/playerimages/Shardul Thakur.png?v=1,5,9, 9, 31.4,309,61/2,61.80,9.75, 38.00 ,0,0
Simarjeet Singh,CSK,https://scores.iplt20.com/ipl/playerimages/Simarjeet Singh.png?v=1,5,4, 4, 12.0,121,26/3,24.20,10.08, 14.40 ,0,0
Akash Madhwal,MI,https://scores.iplt20.com/ipl/playerimages/Akash Madhwal.png?v=1,5,5, 5, 18.1,205,20/3,41.00,11.28, 21.80 ,0,0
Azmatullah Omarzai,GT,https://scores.iplt20.com/ipl/playerimages/Azmatullah Omarzai.png?v=1,4,7, 7, 21.0,186,27/2,46.50,8.85, 31.50 ,0,0
Marcus Stoinis,LSG,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png?v=1,4,14, 7, 14.0,126,3/1,31.50,9.00, 21.00 ,0,0
Spencer Johnson,GT,https://scores.iplt20.com/ipl/playerimages/Spencer Johnson.png?v=1,4,5, 5, 16.0,151,25/2,37.75,9.43, 24.00 ,0,0
Vyshak Vijaykumar,RCB,https://scores.iplt20.com/ipl/playerimages/Vyshak Vijaykumar.png?v=1,4,4, 4, 14.3,142,23/2,35.50,9.79, 21.75 ,0,0
Reece Topley,RCB,https://scores.iplt20.com/ipl/playerimages/Reece Topley.png?v=1,4,4, 4, 15.0,168,27/2,42.00,11.20, 22.50 ,0,0
Josh Little,GT,https://scores.iplt20.com/ipl/playerimages/Josh Little.png?v=1,4,1, 1, 4.0,45,45/4,11.25,11.25, 6.00 ,1,0
Liam Livingstone,PBKS,https://scores.iplt20.com/ipl/playerimages/Liam Livingstone.png?v=1,3,7, 4, 12.0,84,19/2,28.00,7.00, 24.00 ,0,0
Tristan Stubbs,DC,https://scores.iplt20.com/ipl/playerimages/Tristan Stubbs.png?v=1,3,14, 2, 2.0,15,11/2,5.00,7.50, 4.00 ,0,0
Darshan Nalkande,GT,https://scores.iplt20.com/ipl/playerimages/Darshan Nalkande.png?v=1,3,3, 3, 4.5,45,21/2,15.00,9.31, 9.66 ,0,0
Shreyas Gopal,MI,https://scores.iplt20.com/ipl/playerimages/Shreyas Gopal.png?v=1,3,3, 3, 7.0,67,9/1,22.33,9.57, 14.00 ,0,0
Nitish Kumar Reddy,SRH,https://scores.iplt20.com/ipl/playerimages/Nitish Kumar Reddy.png?v=1,3,13, 7, 13.1,153,17/2,51.00,11.62, 26.33 ,0,0
Keshav Maharaj,RR,https://scores.iplt20.com/ipl/playerimages/Keshav Maharaj.png?v=1,2,2, 2, 6.0,39,23/2,19.50,6.50, 18.00 ,0,0
Mitchell Santner,CSK,https://scores.iplt20.com/ipl/playerimages/Mitchell Santner.png?v=1,2,3, 3, 9.0,64,10/1,32.00,7.11, 27.00 ,0,0
Maheesh Theekshana,CSK,https://scores.iplt20.com/ipl/playerimages/Maheesh Theekshana.png?v=1,2,5, 5, 20.0,144,27/1,72.00,7.20, 60.00 ,0,0
Abhishek Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png?v=1,2,16, 4, 7.0,51,24/2,25.50,7.28, 21.00 ,0,0
Mohammad Nabi,MI,https://scores.iplt20.com/ipl/playerimages/Mohammad Nabi.png?v=1,2,7, 6, 12.2,109,16/1,54.50,8.83, 37.00 ,0,0
Moeen Ali,CSK,https://scores.iplt20.com/ipl/playerimages/Moeen Ali.png?v=1,2,8, 4, 8.0,71,23/2,35.50,8.87, 24.00 ,0,0
Vidwath Kaverappa,PBKS,https://scores.iplt20.com/ipl/playerimages/Vidwath Kaverappa.png?v=1,2,1, 1, 4.0,36,36/2,18.00,9.00, 12.00 ,0,0
Will Jacks,RCB,https://scores.iplt20.com/ipl/playerimages/Will Jacks.png?v=1,2,8, 5, 9.0,100,23/1,50.00,11.11, 27.00 ,0,0
Anshul Kamboj,MI,https://scores.iplt20.com/ipl/playerimages/Anshul Kamboj.png?v=1,2,3, 3, 10.0,114,24/1,57.00,11.40, 30.00 ,0,0
Shashank Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Shashank Singh.png?v=1,1,14, 1, 1.0,5,5/1,5.00,5.00, 6.00 ,0,0
Nathan Ellis,PBKS,https://scores.iplt20.com/ipl/playerimages/Nathan Ellis.png?v=1,1,1, 1, 4.0,24,24/1,24.00,6.00, 24.00 ,0,0
M Siddharth,LSG,https://scores.iplt20.com/ipl/playerimages/M Siddharth.png?v=1,1,3, 3, 9.0,71,21/1,71.00,7.88, 54.00 ,0,0
Vijayakanth Viyaskanth,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 10.0,86,37/1,86.00,8.60, 60.00 ,0,0
Richard Gleeson,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 7.5,71,30/1,71.00,9.06, 47.00 ,0,0
Matt Henry,LSG,https://scores.iplt20.com/ipl/playerimages/Matt Henry.png?v=1,1,4, 4, 12.0,110,28/1,110.00,9.16, 72.00 ,0,0
Amit Mishra,LSG,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,1,1, 1, 2.0,20,20/1,20.00,10.00, 12.00 ,0,0
