player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
RP Singh,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,23,16, 16, 59,417,4/22,18.13,6.98, 15.56 ,1,0
Anil Kumble,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,21,16, 16, 59,347,5/5,16.52,5.86, 16.90 ,1,1
Pragyan Ojha,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,18,15, 15, 53,348,3/11,19.33,6.50, 17.83 ,0,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,18,13, 13, 49,312,5/13,17.33,6.30, 16.50 ,0,0
Irfan Pathan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,14, 14, 50,390,3/24,22.94,7.74, 17.76 ,0,0
Munaf Patel,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,11, 11, 35,241,5/21,15.06,6.91, 13.06 ,0,0
Shane Warne,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,13, 13, 50,365,4/21,26.07,7.30, 21.42 ,0,0
Muttiah Muralitharan,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,13, 13, 50,261,3/11,18.64,5.22, 21.42 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,14,11, 11, 42,294,5/17,21.00,6.97, 18.07 ,0,0
Yusuf Abdulla,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,9, 9, 28,241,4/31,17.21,8.60, 12.00 ,2,0
Lakshmipathy Balaji,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,13, 13, 37,316,5/24,24.30,8.46, 17.23 ,1,0
Praveen Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,13, 13, 49,394,3/18,30.30,7.93, 22.92 ,0,0
Shadab Jakati,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,9, 8, 29,217,4/22,16.69,7.48, 13.38 ,2,0
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,12, 12, 40,324,4/32,24.92,8.10, 18.46 ,0,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,12,13, 13, 44,256,5/18,21.33,5.81, 22.00 ,1,0
Piyush Chawla,PBKS,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,12,14, 14, 45,308,4/17,25.66,6.86, 22.41 ,0,0
Rohit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,11,16, 12, 23,161,4/6,14.63,7.00, 12.54 ,1,0
Ishant Sharma,KKR,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png?v=1,11,11, 11, 43,297,5/12,27.00,6.90, 23.45 ,0,0
Dwayne Bravo,MI,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,11,11, 11, 33,259,4/22,23.54,7.80, 18.09 ,0,0
Roelof van der Merwe,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,10, 10, 34,248,3/20,27.55,7.29, 22.66 ,0,0
Vinay Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,11, 11, 32,271,4/40,30.11,8.38, 21.55 ,0,0
Amit Singh,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,5, 5, 17,95,4/19,10.55,5.42, 11.66 ,1,0
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,14, 10, 27,164,2/0,23.42,5.92, 23.71 ,0,0
Sanath Jayasuriya,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,12, 9, 19,163,3/14,23.28,8.57, 16.28 ,0,0
Brad Hodge,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,12, 9, 20,161,4/13,23.00,8.05, 17.14 ,0,0
Yusuf Pathan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,13, 11, 35,243,3/20,34.71,6.94, 30.00 ,0,0
Andrew Symonds,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,8, 8, 24,160,3/21,22.85,6.66, 20.57 ,0,0
