player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Pragyan Ojha,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,21,16, 16, 59,429,3/11,20.42,7.29, 16.80 ,0,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,17,15, 14, 53,377,5/18,22.17,7.04, 18.88 ,0,0
Anil Kumble,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,16, 16, 63,407,5/5,23.94,6.42, 22.35 ,1,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,17,14, 14, 53,363,5/17,21.35,6.84, 18.70 ,0,0
Vinay Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,14, 14, 46,396,4/40,24.75,8.57, 17.31 ,1,0
Zaheer Khan,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,14, 14, 48,376,4/17,25.06,7.77, 19.33 ,0,0
Dale Steyn,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,15, 15, 59,406,3/11,27.06,6.88, 23.60 ,0,0
Irfan Pathan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,14, 14, 46,426,3/24,28.40,9.19, 18.53 ,0,0
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,15,14, 12, 37,274,4/44,18.26,7.40, 14.80 ,0,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/playerimages/Lasith Malinga.png?v=1,15,13, 13, 49,344,5/13,22.93,7.02, 19.60 ,1,0
Muttiah Muralitharan,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,12, 12, 48,329,3/11,21.93,6.85, 19.20 ,0,0
Ryan Harris,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,8, 8, 30,233,4/34,16.64,7.59, 13.14 ,0,0
Ravichandran Ashwin,CSK,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=1,13,12, 12, 48,293,4/34,22.53,6.10, 22.15 ,0,0
RP Singh,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,12, 12, 42,370,4/22,28.46,8.80, 19.38 ,0,0
Jacques Kallis,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,16, 16, 57,476,3/13,36.61,8.35, 26.30 ,0,0
Shadab Jakati,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,11, 11, 38,291,4/22,22.38,7.65, 17.53 ,0,0
Piyush Chawla,PBKS,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,12,14, 14, 49,367,4/17,30.58,7.48, 24.50 ,0,0
Doug Bollinger,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,8, 8, 31,207,4/13,17.25,6.67, 15.50 ,1,0
Andrew Symonds,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,16, 16, 53,372,3/21,31.00,7.01, 26.50 ,0,0
Siddharth Trivedi,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,11, 10, 35,260,4/25,23.63,7.32, 19.36 ,0,0
Shane Warne,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,14, 14, 50,381,4/21,34.63,7.62, 27.27 ,1,0
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,14, 14, 47,405,4/32,36.81,8.49, 26.00 ,0,0
Shaun Tait,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,8, 8, 31,264,3/13,26.40,8.47, 18.70 ,0,0
Praveen Kumar,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,12, 12, 45,380,3/18,38.00,8.44, 27.00 ,0,0
Murali Kartik,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,10, 10, 39,253,3/17,28.11,6.48, 26.00 ,0,0
Pradeep Sangwan,DC,https://scores.iplt20.com/ipl/playerimages/Pradeep Sangwan.png?v=1,9,8, 8, 31,258,3/18,28.66,8.32, 20.66 ,0,0
Ashok Dinda,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,7, 7, 23,152,4/18,16.88,6.56, 15.44 ,0,0
Shane Bond,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,8, 8, 31,224,2/24,24.88,7.22, 20.66 ,0,0
Chaminda Vaas,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,6, 6, 22,139,3/21,15.44,6.31, 14.66 ,0,0
Harmeet Singh Bansal,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,8, 8, 24,174,3/24,21.75,7.25, 18.00 ,0,0
MF Maharoof,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,7, 7, 24,206,3/34,25.75,8.58, 18.00 ,0,0
Angelo Mathews,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,14, 12, 37,314,4/19,39.25,8.37, 28.12 ,1,0
Dilhara Fernando,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,5, 5, 19,138,4/18,19.71,7.26, 16.28 ,0,0
Ishant Sharma,KKR,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png?v=1,7,7, 7, 25,236,5/12,33.71,9.44, 21.42 ,0,0
Lakshmipathy Balaji,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,7, 7, 23,207,5/24,29.57,8.87, 20.00 ,0,0
Dirk Nannes,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,9, 9, 34,224,3/27,32.00,6.52, 29.42 ,0,0
Juan Theron,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,7, 7, 24,187,2/17,31.16,7.79, 24.00 ,0,0
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,6, 6, 22,184,4/29,30.66,8.36, 22.00 ,0,0
Umesh Yadav,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,7, 7, 24,184,4/24,30.66,7.66, 24.00 ,0,0
Jaskaran Singh,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,6, 6, 14,139,2/18,23.16,9.92, 14.00 ,0,0
Ashish Nehra,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,4, 4, 14,96,4/10,16.00,6.85, 14.00 ,0,0
Shalabh Srivastava,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,8, 8, 27,255,2/20,42.50,9.44, 27.00 ,0,0
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,16, 12, 24,178,2/0,29.66,7.46, 23.83 ,0,0
Rahul Sharma,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,6, 6, 20,167,3/13,33.40,8.08, 24.80 ,0,0
