player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Ravi Bopara,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,10, 5, 13,127,3/31,25.40,9.76, 15.60 ,0,0
Thilan Thushara,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 4, 14,101,2/16,20.20,6.96, 17.40 ,0,0
Aditya Dole,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,3, 3, 11,112,2/36,22.40,10.18, 13.20 ,0,0
Yusuf Pathan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,14, 11, 34,246,3/20,49.20,7.23, 40.80 ,0,0
Paul Collingwood,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,8, 6, 15,101,2/19,20.20,6.80, 17.80 ,0,0
Yuvraj Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,14, 10, 23,152,4/29,30.40,6.60, 27.60 ,0,0
Sumit Narwal,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,5, 5, 15,185,3/36,37.00,11.80, 18.80 ,0,0
Andrew McDonald,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 4, 14,138,2/25,27.60,9.85, 16.80 ,0,0
Charl Langeveldt,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,3, 3, 11,88,3/15,17.60,8.00, 13.20 ,0,0
Ajit Agarkar,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,7, 7, 22,203,3/25,50.75,9.22, 33.00 ,0,0
Chris Gayle,KKR,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,4,9, 6, 16,152,3/21,38.00,9.50, 24.00 ,0,0
Dimitri Mascarenhas,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,2, 2, 8,65,5/25,16.25,8.12, 12.00 ,0,0
Dwayne Bravo,MI,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,4,10, 10, 26,228,4/22,57.00,8.71, 39.25 ,0,0
Sarabjit Ladda,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,5, 5, 15,143,2/44,35.75,9.53, 22.50 ,0,0
Ryan McLaren,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,10, 10, 34,270,2/28,67.50,7.94, 51.00 ,0,0
Jaydev Unadkat,KKR,https://scores.iplt20.com/ipl/playerimages/Jaydev Unadkat.png?v=1,4,3, 3, 10,85,5/25,21.25,8.22, 15.50 ,0,0
Munaf Patel,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 13,118,5/21,39.33,9.07, 26.00 ,0,0
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,14, 3, 5,23,2/18,7.66,4.05, 11.33 ,0,0
Ali Murtaza,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,3, 3, 12,91,3/15,30.33,7.58, 24.00 ,0,0
Tillakaratne Dilshan,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,6, 4, 8,70,1/30,23.33,8.57, 16.33 ,0,0
Bipul Sharma,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 4, 10,94,2/13,31.33,9.40, 20.00 ,0,0
Shanthakumaran Sreesanth,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,6, 6, 19,191,3/29,63.66,10.05, 38.00 ,0,0
JM Kemp,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 5, 7,54,3/12,18.00,7.36, 14.66 ,0,0
Ramesh Powar,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,7, 7, 23,160,2/11,53.33,6.95, 46.00 ,0,0
Rajat Bhatia,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 5, 16,132,4/15,44.00,8.25, 32.00 ,0,0
Love Ablish,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,2, 2, 4,36,2/17,12.00,9.00, 8.00 ,0,0
Laxmi Ratan Shukla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 12,106,3/25,35.33,8.83, 24.00 ,0,0
Kamran Khan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,3, 3, 6,53,3/18,17.66,8.83, 12.00 ,0,0
Kevin Pietersen,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,7, 6, 10,77,2/31,25.66,7.70, 20.00 ,0,0
Roelof van der Merwe,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,1, 1, 4,27,3/20,13.50,6.75, 12.00 ,0,0
Ajantha Mendis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 8,66,2/19,33.00,8.25, 24.00 ,0,0
Mitchell Marsh,DEC,https://scores.iplt20.com/ipl/playerimages/Mitchell Marsh.png?v=1,2,3, 3, 10,88,4/25,44.00,8.80, 30.00 ,0,0
Amit Uniyal,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 6,66,2/41,33.00,11.00, 18.00 ,0,0
Pankaj Singh,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 8,81,2/18,40.50,10.12, 24.00 ,0,0
Brad Hodge,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,4, 4, 5,41,4/13,20.50,8.20, 15.00 ,0,0
Joginder Sharma,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 3, 8,89,2/27,44.50,11.12, 24.00 ,0,0
Rajagopal Sathish,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,12, 4, 8,81,1/11,40.50,10.12, 24.00 ,0,0
Sanath Jayasuriya,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,4, 4, 9,68,3/14,34.00,7.55, 27.00 ,0,0
Rohit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,2,16, 9, 19,153,4/6,76.50,8.05, 57.00 ,0,0
Daniel Vettori,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 3, 11,97,3/15,48.50,8.31, 35.00 ,0,0
Iqbal Abdulla,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 8,61,3/24,61.00,7.17, 51.00 ,0,0
Abhimanyu Mithun,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 3,39,2/37,39.00,13.00, 18.00 ,0,0
Moises Henriques,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,35,3/12,35.00,8.75, 24.00 ,0,0
Yusuf Abdulla,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 7,66,4/31,66.00,9.65, 41.00 ,0,0
Yo Mahesh,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 3,23,4/36,23.00,7.66, 18.00 ,0,0
Manpreet Gony,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 8,92,3/31,92.00,11.50, 48.00 ,0,0
Vikramjeet Malik,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 7,62,2/14,62.00,8.65, 43.00 ,0,0
Nayan Doshi,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,17,1/15,17.00,4.25, 24.00 ,0,0
Dwayne Smith,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 2, 4,36,4/8,36.00,9.39, 23.00 ,0,0
Sudeep Tyagi,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,6, 6, 16,159,2/18,159.00,10.04, 95.00 ,0,0
JP Duminy,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,7, 2, 5,37,4/17,37.00,6.72, 33.00 ,0,0
KP Appanna,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 7,51,4/19,51.00,7.28, 42.00 ,0,0
Dhawal Kulkarni,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,40,4/14,40.00,10.00, 24.00 ,0,0
