player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Ruturaj Gaikwad,CSK,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png?v=1,635,16,16,2,101*,45.35,466,136.26,1,4,64,23
Faf du Plessis,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,633,16,16,2,95*,45.21,458,138.20,0,6,60,23
KL Rahul,PBKS,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png?v=1,626,13,13,3,98*,62.60,451,138.80,0,6,48,30
Shikhar Dhawan,DC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,587,16,16,1,92,39.13,471,124.62,0,3,63,16
Glenn Maxwell,RCB,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,513,15,14,2,78,42.75,356,144.10,0,6,48,21
Sanju Samson,RR,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png?v=1,484,14,14,2,119,40.33,354,136.72,1,2,45,17
Prithvi Shaw,DC,https://scores.iplt20.com/ipl/playerimages/Prithvi Shaw.png?v=1,479,15,15,0,82,31.93,301,159.13,0,4,56,18
Shubman Gill,KKR,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png?v=1,478,17,17,0,57,28.11,402,118.90,0,3,50,12
Mayank Agarwal,PBKS,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png?v=1,441,12,12,1,99*,40.09,314,140.44,0,4,42,18
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,419,16,16,4,58*,34.91,326,128.52,0,3,42,10
Devdutt Padikkal,RCB,https://scores.iplt20.com/ipl/playerimages/Devdutt Padikkal.png?v=1,411,14,14,1,101*,31.61,328,125.30,1,1,44,14
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,405,15,15,1,72*,28.92,339,119.46,0,3,43,9
Rahul Tripathi,KKR,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png?v=1,397,17,16,2,74*,28.35,283,140.28,0,2,41,11
Nitish Rana,KKR,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=1,383,17,16,3,80,29.46,314,121.97,0,2,34,17
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,381,13,13,0,63,29.30,299,127.42,0,1,33,14
Venkatesh Iyer,KKR,https://scores.iplt20.com/ipl/playerimages/Venkatesh Iyer.png?v=1,370,10,10,1,67,41.11,288,128.47,0,4,37,14
Moeen Ali,CSK,https://scores.iplt20.com/ipl/playerimages/Moeen Ali.png?v=1,357,15,15,1,58,25.50,260,137.30,0,1,31,19
Suryakumar Yadav,MI,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png?v=1,317,14,14,0,82,22.64,221,143.43,0,2,40,10
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,313,15,14,4,76*,31.30,211,148.34,0,2,23,16
