player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Chris Gayle,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,733,15,14,2,128*,61.08,456,160.74,1,7,46,59
Gautam Gambhir,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,590,17,17,2,93,39.33,411,143.55,0,6,64,17
Shikhar Dhawan,DEC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,569,15,15,1,84,40.64,439,129.61,0,5,58,18
Ajinkya Rahane,RR,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,560,16,16,2,103*,40.00,433,129.33,1,3,73,10
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,495,16,16,1,87*,33.00,307,161.23,0,5,57,19
Cameron White,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,479,13,13,2,78,43.54,320,149.68,0,5,41,20
Rahul Dravid,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,462,16,16,0,58,28.87,412,112.13,0,2,63,4
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,441,19,18,1,73,25.94,325,135.69,0,1,36,19
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,433,17,16,2,109*,30.92,342,126.60,1,3,39,18
Mandeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Mandeep Singh.png?v=1,432,16,16,0,75,27.00,342,126.31,0,2,53,7
Jacques Kallis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,409,17,17,1,79,25.56,384,106.51,0,2,34,10
Robin Uthappa,PWI,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,405,16,16,1,69,27.00,343,118.07,0,2,38,10
Faf du Plessis,CSK,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png?v=1,398,13,12,0,73,33.16,304,130.92,0,3,29,17
David Hussey,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,396,16,15,3,68*,33.00,305,129.83,0,2,28,17
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,371,19,16,8,48,46.37,264,140.53,0,0,20,20
