player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,364,16,15,2,73*,28.00,326,111.65,0,2,33,9
Steve Smith,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,362,15,14,5,47*,40.22,267,135.58,0,0,24,14
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,358,19,17,5,51*,29.83,278,128.77,0,1,26,9
Owais Shah,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,340,13,13,4,76,37.77,256,132.81,0,3,24,16
Shaun Marsh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,336,13,13,2,68*,30.54,280,120.00,0,2,39,7
Murali Vijay,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,336,14,14,1,113,25.84,267,125.84,1,0,39,10
Mahela Jayawardena,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,335,16,15,3,56*,27.91,298,112.41,0,3,39,3
Ambati Rayudu,MI,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,333,17,15,6,81*,37.00,252,132.14,0,2,21,14
Sachin Tendulkar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,324,13,13,2,74,29.45,283,114.48,0,2,39,4
AB de Villiers,RCB,https://scores.iplt20.com/ipl/playerimages/AB de Villiers.png?v=1,319,16,13,5,64*,39.87,198,161.11,0,3,26,15
Kevin Pietersen,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,305,8,8,3,103*,61.00,207,147.34,1,1,22,20
Brendon McCullum,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,289,12,12,0,56,24.08,283,102.12,0,1,37,3
Tillakaratne Dilshan,RCB,https://scores.iplt20.com/ipl/playerimages/Tillakaratne Dilshan.png?v=1,285,10,9,1,76*,35.62,261,109.19,0,3,33,5
Sourav Ganguly,PWI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,268,15,15,0,45,17.86,271,98.89,0,0,30,4
Michael Hussey,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,261,8,8,0,56,32.62,236,110.59,0,2,28,8
Manoj Tiwary,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,260,16,15,5,59,26.00,246,105.69,0,1,21,3
David Warner,DC,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,256,8,8,1,109*,36.57,156,164.10,1,1,28,14
Jesse Ryder,PWI,https://scores.iplt20.com/ipl/playerimages/Jesse Ryder.png?v=1,256,11,11,1,86,25.60,212,120.75,0,2,23,8
Shane Watson,RR,https://scores.iplt20.com/ipl/playerimages/Shane Watson.png?v=1,255,7,7,1,90*,42.50,168,151.78,0,2,26,14
Naman Ojha,DC,https://scores.iplt20.com/ipl/playerimages/Naman Ojha.png?v=1,255,18,16,5,64*,23.18,224,113.83,0,1,21,13
Brad Hodge,RR,https://scores.iplt20.com/ipl/playerimages/Brad Hodge.png?v=1,245,12,12,4,48*,30.62,175,140.00,0,0,18,9
JP Duminy,DEC,https://scores.iplt20.com/ipl/playerimages/JP Duminy.png?v=1,244,9,9,6,74,81.33,190,128.42,0,2,13,11
Dinesh Karthik,MI,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png?v=1,238,17,14,1,44,18.30,213,111.73,0,0,30,2
Mayank Agarwal,RCB,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png?v=1,225,16,12,1,64*,20.45,158,142.40,0,1,19,15
James Franklin,MI,https://scores.iplt20.com/ipl/playerimages/James Franklin.png?v=1,220,12,11,2,79,24.44,223,98.65,0,1,15,6
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,220,14,11,2,64,24.44,159,138.36,0,2,15,14
Ashok Menaria,RR,https://scores.iplt20.com/ipl/playerimages/Ashok Menaria.png?v=1,220,15,12,1,40,20.00,202,108.91,0,0,14,8
Manvinder Bisla,KKR,https://scores.iplt20.com/ipl/playerimages/Manvinder Bisla.png?v=1,213,7,7,0,89,30.42,160,133.12,0,1,16,10
Kumar Sangakkara,DEC,https://scores.iplt20.com/ipl/playerimages/Kumar Sangakkara.png?v=1,200,12,12,1,82,18.18,184,108.69,0,1,21,4
Ross Taylor,DC,https://scores.iplt20.com/ipl/playerimages/Ross Taylor.png?v=1,197,12,12,2,55,19.70,171,115.20,0,1,12,7
Subramaniam Badrinath,CSK,https://scores.iplt20.com/ipl/playerimages/Subramaniam Badrinath.png?v=1,196,15,9,2,57,28.00,181,108.28,0,1,23,2
Parthiv Patel,DEC,https://scores.iplt20.com/ipl/playerimages/Parthiv Patel.png?v=1,194,14,13,2,45,17.63,165,117.57,0,0,19,4
Yusuf Pathan,KKR,https://scores.iplt20.com/ipl/playerimages/Yusuf Pathan.png?v=1,194,17,16,6,40*,19.40,169,114.79,0,0,10,7
Saurabh Tiwary,RCB,https://scores.iplt20.com/ipl/playerimages/Saurabh Tiwary.png?v=1,191,15,11,3,36*,23.87,170,112.35,0,0,9,8
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,191,19,14,2,48,15.91,151,126.49,0,0,13,9
Azhar Mahmood,PBKS,https://scores.iplt20.com/ipl/playerimages/Azhar Mahmood.png?v=1,186,11,10,2,36,23.25,142,130.98,0,0,16,8
Irfan Pathan,DC,https://scores.iplt20.com/ipl/playerimages/Irfan Pathan.png?v=1,176,17,12,5,42*,25.14,126,139.68,0,0,14,6
Adam Gilchrist,PBKS,https://scores.iplt20.com/ipl/playerimages/Adam Gilchrist.png?v=1,172,7,7,2,64*,34.40,143,120.27,0,1,21,4
Dwayne Smith,MI,https://scores.iplt20.com/ipl/playerimages/Dwayne Smith.png?v=1,157,7,6,2,87*,39.25,98,160.20,0,1,18,7
Yogesh Nagar,DC,https://scores.iplt20.com/ipl/playerimages/Yogesh Nagar.png?v=1,152,13,8,3,43*,30.40,133,114.28,0,0,13,3
Dan Christian,DEC,https://scores.iplt20.com/ipl/playerimages/Dan Christian.png?v=1,145,7,7,2,39,29.00,118,122.88,0,0,8,6
Manish Pandey,PWI,https://scores.iplt20.com/ipl/playerimages/Manish Pandey.png?v=1,143,10,9,2,80*,20.42,112,127.67,0,1,12,6
Nitin Saini,PBKS,https://scores.iplt20.com/ipl/playerimages/Nitin Saini.png?v=1,140,10,10,0,50,14.00,141,99.29,0,1,16,0
Venugopal Rao,DC,https://scores.iplt20.com/ipl/playerimages/Venugopal Rao.png?v=1,132,10,7,1,36,22.00,126,104.76,0,0,8,5
Angelo Mathews,PWI,https://scores.iplt20.com/ipl/playerimages/Angelo Mathews.png?v=1,127,9,8,1,35,18.14,108,117.59,0,0,5,4
Debabrata Das,KKR,https://scores.iplt20.com/ipl/playerimages/Debabrata Das.png?v=1,126,15,10,7,35*,42.00,93,135.48,0,0,9,6
Marlon Samuels,PWI,https://scores.iplt20.com/ipl/playerimages/Marlon Samuels.png?v=1,124,8,8,1,46,17.71,123,100.81,0,0,7,5
Mithun Manhas,PWI,https://scores.iplt20.com/ipl/playerimages/Mithun Manhas.png?v=1,120,10,7,3,42*,30.00,96,125.00,0,0,10,4
Daniel Harris,DEC,https://scores.iplt20.com/ipl/playerimages/Daniel Harris.png?v=1,111,4,4,0,47,27.75,101,109.90,0,0,11,5
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,108,17,11,2,33,12.00,80,135.00,0,0,14,3
Albie Morkel,CSK,https://scores.iplt20.com/ipl/playerimages/Albie Morkel.png?v=1,107,16,12,5,28,15.28,68,157.35,0,0,5,6
Piyush Chawla,PBKS,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,106,16,12,4,21*,13.25,88,120.45,0,0,9,4
David Miller,PBKS,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=1,98,6,6,3,34*,32.66,75,130.66,0,0,6,4
Michael Clarke,PWI,https://scores.iplt20.com/ipl/playerimages/Michael Clarke.png?v=1,98,6,6,0,41,16.33,93,105.37,0,0,12,0
Shakib Al Hasan,KKR,https://scores.iplt20.com/ipl/playerimages/Shakib Al Hasan.png?v=1,91,8,7,1,42,15.16,74,122.97,0,0,6,3
Stuart Binny,RR,https://scores.iplt20.com/ipl/playerimages/Stuart Binny.png?v=1,90,8,6,2,30,22.50,67,134.32,0,0,9,3
Anustup Majumdar,PWI,https://scores.iplt20.com/ipl/playerimages/Anustup Majumdar.png?v=1,87,4,4,0,31,21.75,76,114.47,0,0,7,2
Gurkeerat Mann Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Gurkeerat Mann Singh.png?v=1,86,5,4,1,29*,28.66,52,165.38,0,0,12,2
Richard Levi,MI,https://scores.iplt20.com/ipl/playerimages/Richard Levi.png?v=1,83,6,6,0,50,13.83,73,113.69,0,1,10,4
Herschelle Gibbs,MI,https://scores.iplt20.com/ipl/playerimages/Herschelle Gibbs.png?v=1,81,3,3,1,66*,40.50,88,92.04,0,1,8,2
Laxmi Ratan Shukla,KKR,https://scores.iplt20.com/ipl/playerimages/Laxmi Ratan Shukla.png?v=1,75,11,8,2,26,12.50,57,131.57,0,0,4,5
Akshath Reddy,DEC,https://scores.iplt20.com/ipl/playerimages/Akshath Reddy.png?v=1,73,5,3,0,42,24.33,59,123.72,0,0,6,2
Bipul Sharma,PBKS,https://scores.iplt20.com/ipl/playerimages/Bipul Sharma.png?v=1,72,5,4,1,35*,24.00,47,153.19,0,0,6,3
Shreevats Goswami,RR,https://scores.iplt20.com/ipl/playerimages/Shreevats Goswami.png?v=1,69,11,6,1,24,13.80,67,102.98,0,0,4,1
Vinay Kumar,RCB,https://scores.iplt20.com/ipl/playerimages/Vinay Kumar.png?v=1,68,15,7,2,25,13.60,62,109.67,0,0,3,2
Siddharth Chitnis,PBKS,https://scores.iplt20.com/ipl/playerimages/Siddharth Chitnis.png?v=1,66,6,4,1,38,22.00,62,106.45,0,0,7,1
Johan Botha,RR,https://scores.iplt20.com/ipl/playerimages/Johan Botha.png?v=1,58,11,7,3,14*,14.50,54,107.40,0,0,4,1
Aaron Finch,DC,https://scores.iplt20.com/ipl/playerimages/Aaron Finch.png?v=1,55,2,2,0,30,27.50,51,107.84,0,0,8,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/playerimages/Lasith Malinga.png?v=1,55,14,6,0,17,9.16,53,103.77,0,0,4,3
Callum Ferguson,PWI,https://scores.iplt20.com/ipl/playerimages/Callum Ferguson.png?v=1,50,4,4,0,23,12.50,63,79.36,0,0,3,0
Andre Russell,DC,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,47,4,2,0,31,23.50,26,180.76,0,0,3,3
Andrew McDonald,RCB,https://scores.iplt20.com/ipl/playerimages/Andrew McDonald.png?v=1,47,4,3,1,30,23.50,35,134.28,0,0,6,2
Abhishek Nayar,PBKS,https://scores.iplt20.com/ipl/playerimages/Abhishek Nayar.png?v=1,45,4,4,1,24,15.00,49,91.83,0,0,2,1
Brett Lee,KKR,https://scores.iplt20.com/ipl/playerimages/Brett Lee.png?v=1,42,10,3,1,25,21.00,20,210.00,0,0,2,4
Bhuvneshwar Kumar,PWI,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png?v=1,40,11,9,6,11*,13.33,40,100.00,0,0,4,0
Kevon Cooper,RR,https://scores.iplt20.com/ipl/playerimages/Kevon Cooper.png?v=1,38,6,4,2,14,19.00,20,190.00,0,0,3,3
Bharat Chipli,DEC,https://scores.iplt20.com/ipl/playerimages/Bharat Chipli.png?v=1,37,5,4,1,25*,12.33,35,105.71,0,0,3,2
Unmukt Chand,DC,https://scores.iplt20.com/ipl/playerimages/Unmukt Chand.png?v=1,36,2,2,0,18,18.00,34,105.88,0,0,2,3
Pawan Negi,DC,https://scores.iplt20.com/ipl/playerimages/Pawan Negi.png?v=1,36,8,4,2,14,18.00,29,124.13,0,0,4,1
Ashish Reddy,DEC,https://scores.iplt20.com/ipl/playerimages/Ashish Reddy.png?v=1,35,9,6,2,10*,8.75,29,120.68,0,0,3,1
Praveen Kumar,PBKS,https://scores.iplt20.com/ipl/playerimages/Praveen Kumar.png?v=1,35,16,7,4,10,11.66,30,116.66,0,0,2,1
Rajat Bhatia,KKR,https://scores.iplt20.com/ipl/playerimages/Rajat Bhatia.png?v=1,35,17,6,3,12,11.66,28,125.00,0,0,4,0
Robin Peterson,MI,https://scores.iplt20.com/ipl/playerimages/Robin Peterson.png?v=1,32,5,5,2,16*,10.66,30,106.66,0,0,3,1
Daniel Vettori,RCB,https://scores.iplt20.com/ipl/playerimages/Daniel Vettori.png?v=1,31,9,6,2,20,7.75,26,119.23,0,0,3,1
Paul Valthaty,PBKS,https://scores.iplt20.com/ipl/playerimages/Paul Valthaty.png?v=1,30,6,6,0,13,5.00,51,58.82,0,0,4,0
Murali Kartik,PWI,https://scores.iplt20.com/ipl/playerimages/Murali Kartik.png?v=1,26,11,4,4,14*,0.00,21,123.80,0,0,1,1
Dishant Yagnik,RR,https://scores.iplt20.com/ipl/playerimages/Dishant Yagnik.png?v=1,25,5,3,2,10*,25.00,13,192.30,0,0,5,0
Abhishek Jhunjhunwala,DEC,https://scores.iplt20.com/ipl/playerimages/Abhishek Jhunjhunwala.png?v=1,24,5,3,1,19,12.00,26,92.30,0,0,1,1
Ryan ten Doeschate,KKR,https://scores.iplt20.com/ipl/playerimages/Ryan ten Doeschate.png?v=1,21,3,3,1,11,10.50,21,100.00,0,0,1,1
Alfonso Thomas,PWI,https://scores.iplt20.com/ipl/playerimages/Alfonso Thomas.png?v=1,19,4,2,0,12,9.50,15,126.66,0,0,1,1
Srikkanth Anirudha,CSK,https://scores.iplt20.com/ipl/playerimages/Srikkanth Anirudha.png?v=1,19,4,2,2,18*,0.00,7,271.42,0,0,1,2
Wayne Parnell,PWI,https://scores.iplt20.com/ipl/playerimages/Wayne Parnell.png?v=1,19,6,5,1,11,4.75,27,70.37,0,0,2,0
Dale Steyn,DEC,https://scores.iplt20.com/ipl/playerimages/Dale Steyn.png?v=1,19,12,6,1,7,3.80,21,90.47,0,0,0,1
Ryan Harris,PBKS,https://scores.iplt20.com/ipl/playerimages/Ryan Harris.png?v=1,18,5,2,1,15*,18.00,11,163.63,0,0,1,1
Ankit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Ankit Sharma.png?v=1,18,9,4,1,15,6.00,13,138.46,0,0,0,2
Ravichandran Ashwin,CSK,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png?v=1,18,19,5,2,8,6.00,15,120.00,0,0,2,0
Cheteshwar Pujara,RCB,https://scores.iplt20.com/ipl/playerimages/Cheteshwar Pujara.png?v=1,17,3,3,0,11,5.66,22,77.27,0,0,1,1
Amit Mishra,DEC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,16,14,5,2,8*,5.33,20,80.00,0,0,1,0
Tirumalasetti Suman,MI,https://scores.iplt20.com/ipl/playerimages/Tirumalasetti Suman.png?v=1,15,2,2,0,10,7.50,19,78.94,0,0,1,1
Ishank Jaggi,DEC,https://scores.iplt20.com/ipl/playerimages/Ishank Jaggi.png?v=1,15,3,3,1,10*,7.50,21,71.42,0,0,0,0
Paras Dogra,PBKS,https://scores.iplt20.com/ipl/playerimages/Paras Dogra.png?v=1,15,3,3,1,6,7.50,24,62.50,0,0,0,0
Harmeet Singh Bansal,PBKS,https://scores.iplt20.com/ipl/playerimages/Harmeet Singh Bansal.png?v=1,15,7,2,1,14,15.00,7,214.28,0,0,3,0
Brad Hogg,RR,https://scores.iplt20.com/ipl/playerimages/Brad Hogg.png?v=1,15,9,3,1,13,7.50,16,93.75,0,0,1,0
Harshal Patel,RCB,https://scores.iplt20.com/ipl/playerimages/Harshal Patel.png?v=1,15,12,3,1,10,7.50,15,100.00,0,0,1,0
Mohammad Kaif,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammad Kaif.png?v=1,14,1,1,0,14,14.00,16,87.50,0,0,1,0
Sreenath Aravind,RCB,https://scores.iplt20.com/ipl/playerimages/Sreenath Aravind.png?v=1,14,1,1,1,14*,0.00,8,175.00,0,0,3,0
James Faulkner,PBKS,https://scores.iplt20.com/ipl/playerimages/James Faulkner.png?v=1,14,2,2,1,11*,14.00,13,107.69,0,0,0,0
Dimitri Mascarenhas,PBKS,https://scores.iplt20.com/ipl/playerimages/Dimitri Mascarenhas.png?v=1,14,4,3,0,9,4.66,16,87.50,0,0,1,0
Doug Bracewell,DC,https://scores.iplt20.com/ipl/playerimages/Doug Bracewell.png?v=1,12,1,1,1,12*,0.00,9,133.33,0,0,1,0
Zaheer Khan,RCB,https://scores.iplt20.com/ipl/playerimages/Zaheer Khan.png?v=1,12,16,5,3,11*,6.00,17,70.58,0,0,1,0
Krishnakant Upadhyay,PWI,https://scores.iplt20.com/ipl/playerimages/Krishnakant Upadhyay.png?v=1,11,1,1,1,11*,0.00,8,137.50,0,0,0,1
Ankeet Chavan,RR,https://scores.iplt20.com/ipl/playerimages/Ankeet Chavan.png?v=1,11,8,2,1,7*,11.00,8,137.50,0,0,2,0
Ashish Nehra,PWI,https://scores.iplt20.com/ipl/playerimages/Ashish Nehra.png?v=1,11,13,2,2,9*,0.00,12,91.66,0,0,1,0
Dhawal Kulkarni,MI,https://scores.iplt20.com/ipl/playerimages/Dhawal Kulkarni.png?v=1,10,2,1,1,10*,0.00,5,200.00,0,0,2,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,9,15,2,1,9*,9.00,7,128.57,0,0,2,0
Clint McKay,MI,https://scores.iplt20.com/ipl/playerimages/Clint McKay.png?v=1,8,2,1,0,8,8.00,15,53.33,0,0,0,0
Juan Theron,DEC,https://scores.iplt20.com/ipl/playerimages/Juan Theron.png?v=1,7,2,1,1,7*,0.00,6,116.66,0,0,1,0
Shadab Jakati,CSK,https://scores.iplt20.com/ipl/playerimages/Shadab Jakati.png?v=1,7,15,2,2,6*,0.00,12,58.33,0,0,0,0
Chris Lynn,DEC,https://scores.iplt20.com/ipl/playerimages/Chris Lynn.png?v=1,6,1,1,0,6,6.00,9,66.66,0,0,1,0
Harpreet Singh,PWI,https://scores.iplt20.com/ipl/playerimages/Harpreet Singh.png?v=1,6,1,1,0,6,6.00,6,100.00,0,0,0,0
Asad Pathan,RCB,https://scores.iplt20.com/ipl/playerimages/Asad Pathan.png?v=1,6,2,2,1,4,6.00,7,85.71,0,0,0,0
Glenn Maxwell,DC,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,6,2,2,1,3*,6.00,11,54.54,0,0,0,0
Wriddhiman Saha,CSK,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png?v=1,6,4,1,0,6,6.00,14,42.85,0,0,0,0
Bhargav Bhatt,PBKS,https://scores.iplt20.com/ipl/playerimages/Bhargav Bhatt.png?v=1,6,5,1,1,6*,0.00,2,300.00,0,0,0,1
Muttiah Muralitharan,RCB,https://scores.iplt20.com/ipl/playerimages/Muttiah Muralitharan.png?v=1,6,10,2,0,6,3.00,9,66.66,0,0,0,0
RP Singh,MI,https://scores.iplt20.com/ipl/playerimages/RP Singh.png?v=1,6,11,5,3,3,3.00,12,50.00,0,0,0,0
Nuwan Kulasekara,CSK,https://scores.iplt20.com/ipl/playerimages/Nuwan Kulasekara.png?v=1,5,5,1,1,5*,0.00,3,166.66,0,0,1,0
Pragyan Ojha,MI,https://scores.iplt20.com/ipl/playerimages/Pragyan Ojha.png?v=1,5,9,3,1,4,2.50,14,35.71,0,0,0,0
Siddharth Trivedi,RR,https://scores.iplt20.com/ipl/playerimages/Siddharth Trivedi.png?v=1,5,14,1,1,5*,0.00,6,83.33,0,0,0,0
Mohnish Mishra,PWI,https://scores.iplt20.com/ipl/playerimages/Mohnish Mishra.png?v=1,4,1,1,0,4,4.00,4,100.00,0,0,1,0
Dwaraka Ravi Teja,DEC,https://scores.iplt20.com/ipl/playerimages/Dwaraka Ravi Teja.png?v=1,4,2,2,0,4,2.00,4,100.00,0,0,1,0
Syed Mohammad,RCB,https://scores.iplt20.com/ipl/playerimages/Syed Mohammad.png?v=1,4,2,1,1,4*,0.00,1,400.00,0,0,1,0
Thisara Perera,MI,https://scores.iplt20.com/ipl/playerimages/Thisara Perera.png?v=1,4,2,2,1,4*,4.00,9,44.44,0,0,0,0
Manpreet Gony,DEC,https://scores.iplt20.com/ipl/playerimages/Manpreet Gony.png?v=1,4,6,1,0,4,4.00,8,50.00,0,0,0,0
Parvinder Awana,PBKS,https://scores.iplt20.com/ipl/playerimages/Parvinder Awana.png?v=1,4,12,2,2,4*,0.00,5,80.00,0,0,0,0
Ali Murtaza,PWI,https://scores.iplt20.com/ipl/playerimages/Ali Murtaza.png?v=1,3,1,1,1,3*,0.00,5,60.00,0,0,0,0
Doug Bollinger,CSK,https://scores.iplt20.com/ipl/playerimages/Doug Bollinger.png?v=1,3,6,1,0,3,3.00,5,60.00,0,0,0,0
Morne Morkel,DC,https://scores.iplt20.com/ipl/playerimages/Morne Morkel.png?v=1,3,16,4,2,2*,1.50,5,60.00,0,0,0,0
Ashok Dinda,PWI,https://scores.iplt20.com/ipl/playerimages/Ashok Dinda.png?v=1,2,7,1,0,2,2.00,5,40.00,0,0,0,0
Rahul Sharma,PWI,https://scores.iplt20.com/ipl/playerimages/Rahul Sharma.png?v=1,2,11,5,1,2,0.50,11,18.18,0,0,0,0
Umesh Yadav,DC,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png?v=1,2,17,3,1,1*,1.00,7,28.57,0,0,0,0
Varun Aaron,DC,https://scores.iplt20.com/ipl/playerimages/Varun Aaron.png?v=1,1,8,2,0,1,0.50,3,33.33,0,0,0,0
