player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Shaun Marsh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,616,11,11,2,115,68.44,441,139.68,1,5,59,26
Gautam Gambhir,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,534,14,14,1,86,41.07,379,140.89,0,5,68,8
Sanath Jayasuriya,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,518,14,14,2,114*,43.16,309,167.63,1,2,58,31
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,472,15,15,5,76*,47.20,311,151.76,0,4,47,19
Graeme Smith,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,441,11,11,2,91,49.00,362,121.82,0,3,54,8
Adam Gilchrist,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,436,14,14,1,109*,33.53,318,137.10,1,3,51,19
Yusuf Pathan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,435,16,15,1,68,31.07,243,179.01,0,4,43,25
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,421,16,14,3,55*,38.27,296,142.22,0,3,35,18
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,414,16,14,4,65,41.40,310,133.54,0,2,38,15
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,406,14,14,2,94*,33.83,220,184.54,0,3,46,21
Rohit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,404,13,12,1,76*,36.72,273,147.98,0,4,38,19
Rahul Dravid,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,371,14,14,1,75*,28.53,298,124.49,0,2,35,11
Sourav Ganguly,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,349,13,13,1,91,29.08,307,113.68,0,3,33,15
Shikhar Dhawan,DC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,340,14,14,5,68*,37.77,295,115.25,0,4,35,8
Kumar Sangakkara,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,320,10,9,0,94,35.55,198,161.61,0,4,41,8
Robin Uthappa,MI,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,320,14,14,5,48,35.55,279,114.69,0,0,34,9
David Hussey,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,319,13,13,2,71,29.00,259,123.16,0,2,19,17
Swapnil Asnodkar,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,311,9,9,0,60,34.55,233,133.47,0,2,43,6
Parthiv Patel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,302,13,13,2,54,27.45,297,101.68,0,2,42,3
Yuvraj Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,299,15,14,1,57,23.00,184,162.50,0,1,24,19
