player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Harshal Patel,RCB,https://scores.iplt20.com/ipl/playerimages/Harshal Patel.png?v=1,32,15, 15, 56,459,5/27,14.34,8.14, 10.56 ,1,1
Avesh Khan,DC,https://scores.iplt20.com/ipl/playerimages/Avesh Khan.png?v=1,24,16, 16, 61,450,3/13,18.75,7.37, 15.25 ,0,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/playerimages/Jasprit Bumrah.png?v=1,21,14, 14, 55,410,4/14,19.52,7.45, 15.71 ,0,0
Shardul Thakur,CSK,https://scores.iplt20.com/ipl/playerimages/Shardul Thakur.png?v=1,21,16, 16, 60,527,3/19,25.09,8.80, 17.09 ,0,0
Mohammad Shami,PBKS,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,19,14, 14, 52,395,3/15,20.78,7.50, 16.63 ,0,0
Rashid Khan,SRH,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,18,14, 14, 56,375,3/19,20.83,6.69, 18.66 ,0,0
Arshdeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png?v=1,18,12, 12, 41,342,5/32,19.00,8.27, 13.77 ,0,1
Varun Chakaravarthy,KKR,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png?v=1,18,17, 17, 68,448,5/20,24.88,6.58, 22.66 ,0,0
Yuzvendra Chahal,RCB,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,18,15, 15, 53,374,4/25,20.77,7.05, 17.66 ,0,0
Jason Holder,SRH,https://scores.iplt20.com/ipl/playerimages/Jason Holder.png?v=1,16,8, 8, 32,247,4/52,15.43,7.75, 11.93 ,1,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,16,14, 14, 56,361,5/19,22.56,6.44, 21.00 ,1,0
Chris Morris,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,11, 11, 41,376,4/23,25.06,9.17, 16.40 ,1,0
Axar Patel,DC,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,15,12, 12, 46,306,4/21,20.40,6.65, 18.40 ,0,0
Kagiso Rabada,DC,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png?v=1,15,15, 15, 56,456,4/21,30.40,8.14, 22.40 ,0,0
Chetan Sakariya,RR,https://scores.iplt20.com/ipl/playerimages/Chetan Sakariya.png?v=1,14,14, 14, 52,426,3/31,30.42,8.19, 22.28 ,0,0
Deepak Chahar,CSK,https://scores.iplt20.com/ipl/playerimages/Deepak Chahar.png?v=1,14,15, 15, 54,451,4/13,32.21,8.35, 23.14 ,2,0
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,14,11, 11, 33,263,4/22,18.78,7.81, 14.42 ,0,0
Mustafizur Rahman,RR,https://scores.iplt20.com/ipl/playerimages/Mustafizur Rahman.png?v=1,14,14, 14, 52,436,3/16,31.14,8.41, 22.21 ,0,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,13,16, 16, 49,346,5/16,26.61,7.06, 22.61 ,0,0
Lockie Ferguson,KKR,https://scores.iplt20.com/ipl/playerimages/Lockie Ferguson.png?v=1,13,8, 8, 30,224,3/15,17.23,7.46, 13.84 ,0,0
Trent Boult,MI,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,13,14, 14, 51,406,4/18,31.23,7.90, 23.69 ,0,0
Rahul Chahar,MI,https://scores.iplt20.com/ipl/playerimages/Rahul Chahar.png?v=1,13,11, 11, 43,318,4/27,24.46,7.39, 19.84 ,1,0
Ravi Bishnoi,PBKS,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png?v=1,12,9, 9, 35,222,3/24,18.50,6.34, 17.50 ,0,0
Anrich Nortje,DC,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png?v=1,12,8, 8, 30,187,3/33,15.58,6.16, 15.16 ,0,0
Prasidh Krishna,KKR,https://scores.iplt20.com/ipl/playerimages/Prasidh Krishna.png?v=1,12,10, 10, 38,351,4/30,29.25,9.11, 19.25 ,0,0
Shivam Mavi,KKR,https://scores.iplt20.com/ipl/playerimages/Shivam Mavi.png?v=1,11,9, 9, 32,233,4/21,21.18,7.24, 17.54 ,1,0
Josh Hazlewood,CSK,https://scores.iplt20.com/ipl/playerimages/Josh Hazlewood.png?v=1,11,9, 9, 35,293,3/24,26.63,8.37, 19.09 ,0,0
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,11,15, 15, 52,353,4/32,32.09,6.78, 28.36 ,0,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,11,10, 8, 19,188,5/15,17.09,9.89, 10.36 ,0,1
Pat Cummins,KKR,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png?v=1,9,7, 7, 27,237,4/34,26.33,8.83, 17.88 ,0,0
Sam Curran,CSK,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png?v=1,9,9, 9, 33,328,4/11,36.44,9.93, 22.00 ,0,0
Kyle Jamieson,RCB,https://scores.iplt20.com/ipl/playerimages/Kyle Jamieson.png?v=1,9,9, 9, 28,269,3/41,29.88,9.60, 18.66 ,0,0
Rahul Tewatia,RR,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png?v=1,8,14, 13, 37,340,3/18,42.50,9.18, 27.75 ,0,0
Siddarth Kaul,SRH,https://scores.iplt20.com/ipl/playerimages/Siddarth Kaul.png?v=1,7,8, 8, 30,247,4/29,35.28,8.23, 25.71 ,0,0
Nathan Coulter-Nile,MI,https://scores.iplt20.com/ipl/playerimages/Nathan Coulter-Nile.png?v=1,7,5, 5, 20,127,4/14,18.14,6.35, 17.14 ,1,0
Ravichandran Ashwin,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,13, 13, 44,331,4/34,47.28,7.41, 38.28 ,0,0
Shahbaz Ahmed,RCB,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png?v=1,7,11, 6, 14,92,3/7,13.14,6.57, 12.00 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,6,4, 4, 14,109,5/17,18.16,7.78, 14.00 ,1,0
