player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,23,17, 17, 66,490,5/19,21.30,7.42, 17.21 ,1,0
Yuzvendra Chahal,RCB,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png?v=1,21,13, 13, 49,401,4/25,19.09,8.15, 14.04 ,1,0
Shane Watson,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,20,16, 16, 56,485,4/29,24.25,8.58, 16.95 ,1,0
Dhawal Kulkarni,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,18,14, 14, 49,364,4/14,20.22,7.42, 16.33 ,1,0
Mitchell McClenaghan,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,14, 14, 53,436,4/21,25.64,8.17, 18.82 ,1,0
Dwayne Bravo,GL,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,17,15, 15, 56,494,4/22,29.05,8.82, 19.76 ,1,0
Mustafizur Rahman,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,17,16, 16, 61,421,3/16,24.76,6.90, 21.52 ,0,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/playerimages/Jasprit Bumrah.png?v=1,15,14, 14, 52,406,4/14,27.06,7.80, 20.80 ,0,0
Sandeep Sharma,PBKS,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,15,14, 14, 50,366,4/20,24.40,7.32, 20.00 ,0,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,15,12, 12, 36,291,5/15,19.40,7.97, 14.60 ,1,0
Barinder Sran,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,14,14, 14, 49,413,3/28,29.50,8.34, 21.21 ,0,0
Axar Patel,PBKS,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,13,14, 14, 48,388,4/21,29.84,8.11, 22.07 ,1,0
Mohit Sharma,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,14, 14, 48,407,4/14,31.30,8.39, 22.38 ,0,0
Chris Morris,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,12, 12, 44,308,4/23,23.69,7.00, 20.30 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,13,14, 14, 46,344,5/17,26.46,7.47, 21.23 ,1,0
Adam Zampa,RPS,https://scores.iplt20.com/ipl/playerimages/Adam Zampa.png?v=1,12,5, 5, 17,115,6/19,9.58,6.76, 8.50 ,0,1
Moises Henriques,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,17, 17, 52,415,3/12,34.58,7.98, 26.00 ,0,0
Sreenath Aravind,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,9, 9, 29,216,4/14,19.63,7.40, 15.90 ,0,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,11,11, 11, 43,304,5/19,27.63,7.09, 23.36 ,0,0
Ashok Dinda,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,9, 9, 30,231,4/18,21.00,7.57, 16.63 ,0,0
Piyush Chawla,KKR,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,11,12, 11, 35,273,4/17,24.81,7.72, 19.27 ,0,0
Chris Jordan,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Jordan.png?v=1,11,9, 9, 28,258,4/11,23.45,9.21, 15.27 ,1,0
Zaheer Khan,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,12, 12, 43,337,4/17,33.70,7.71, 26.20 ,0,0
Morne Morkel,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,10, 10, 35,297,4/20,29.70,8.36, 21.30 ,0,0
Umesh Yadav,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,9, 9, 26,234,4/24,23.40,9.00, 15.60 ,0,0
Ravichandran Ashwin,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,14, 14, 44,319,4/34,31.90,7.25, 26.40 ,1,0
Tim Southee,MI,https://scores.iplt20.com/ipl/playerimages/Tim Southee.png?v=1,9,11, 11, 43,329,3/24,36.55,7.65, 28.66 ,0,0
Thisara Perera,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,12, 11, 33,326,3/20,36.22,9.82, 22.11 ,0,0
Praveen Kumar,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,16, 16, 51,401,3/18,44.55,7.78, 34.33 ,0,0
Ashish Nehra,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,8, 8, 26,199,4/10,22.11,7.65, 17.33 ,0,0
Harbhajan Singh,MI,https://scores.iplt20.com/ipl/playerimages/Harbhajan Singh.png?v=1,9,14, 14, 49,392,5/18,43.55,8.00, 32.66 ,0,0
Dwayne Smith,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,12, 8, 18,153,4/8,19.12,8.50, 13.50 ,1,0
Ravindra Jadeja,GL,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,8,15, 14, 40,311,5/16,38.87,7.74, 30.12 ,0,0
Marcus Stoinis,PBKS,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png?v=1,8,7, 7, 23,194,4/15,24.25,8.43, 17.25 ,1,0
Kane Richardson,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,4, 4, 14,136,3/13,19.42,9.71, 12.00 ,0,0
Carlos Brathwaite,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,8, 8, 23,185,3/43,26.42,7.98, 19.85 ,0,0
Murugan Ashwin,RPS,https://scores.iplt20.com/ipl/playerimages/Murugan Ashwin.png?v=1,7,10, 10, 28,241,3/21,34.42,8.45, 24.42 ,0,0
Shivil Kaushik,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,7, 7, 23,192,3/20,32.00,8.34, 23.00 ,0,0
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,6,12, 11, 31,236,3/14,39.33,7.57, 31.16 ,0,0
Kuldeep Yadav,KKR,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png?v=1,6,3, 3, 12,100,4/20,16.66,8.33, 12.00 ,0,0
Iqbal Abdulla,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,8, 8, 25,213,3/24,35.50,8.52, 25.00 ,0,0
Rajat Bhatia,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,10, 10, 34,244,4/15,40.66,7.17, 34.00 ,0,0
Pravin Tambe,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,7, 7, 16,143,4/20,28.60,8.93, 19.20 ,0,0
Shakib Al Hasan,KKR,https://scores.iplt20.com/ipl/playerimages/Shakib Al Hasan.png?v=1,5,10, 9, 31,243,3/17,48.60,7.83, 37.20 ,0,0
Ben Cutting,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 4, 11,80,2/20,16.00,7.16, 13.40 ,0,0
Imran Tahir,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,4, 4, 16,138,4/12,27.60,8.62, 19.20 ,0,0
Mohammad Shami,DC,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,5,8, 8, 25,244,3/15,48.80,9.69, 30.20 ,0,0
Brad Hogg,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,5, 5, 16,142,4/29,35.50,8.87, 24.00 ,0,0
Mitchell Marsh,RPS,https://scores.iplt20.com/ipl/playerimages/Mitchell Marsh.png?v=1,4,3, 3, 9,45,4/25,11.25,5.00, 13.50 ,0,0
Bipul Sharma,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,7, 6, 14,121,2/13,40.33,8.64, 28.00 ,0,0
Vinay Kumar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,3, 3, 9,64,4/40,21.33,7.11, 18.00 ,0,0
RP Singh,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 12,111,4/22,37.00,9.25, 24.00 ,0,0
Ankit Rajpoot,KKR,https://scores.iplt20.com/ipl/playerimages/Ankit Rajpoot.png?v=1,3,4, 4, 11,98,5/14,32.66,8.90, 22.00 ,0,0
Tabraiz Shamsi,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 16,147,1/21,49.00,9.18, 32.00 ,0,0
Pradeep Sahu,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 5, 17,146,2/18,48.66,8.34, 35.00 ,0,0
Nathan Coulter-Nile,DC,https://scores.iplt20.com/ipl/playerimages/Nathan Coulter-Nile.png?v=1,3,4, 4, 15,114,4/14,38.00,7.60, 30.00 ,0,0
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,3,11, 10, 16,153,3/20,51.00,9.18, 33.33 ,0,0
Ishant Sharma,RPS,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png?v=1,3,4, 4, 15,148,5/12,49.33,9.86, 30.00 ,0,0
Deepak Hooda,SRH,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png?v=1,3,17, 6, 13,97,2/16,32.33,7.46, 26.00 ,0,0
KC Cariappa,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 5, 17,159,2/16,53.00,9.35, 34.00 ,0,0
Scott Boland,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 7,54,2/31,27.00,7.71, 21.00 ,0,0
James Faulkner,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,7, 7, 17,167,5/16,83.50,9.82, 51.00 ,0,0
Jason Holder,KKR,https://scores.iplt20.com/ipl/playerimages/Jason Holder.png?v=1,2,4, 4, 13,103,4/52,51.50,7.92, 39.00 ,0,0
Jayant Yadav,DC,https://scores.iplt20.com/ipl/playerimages/Jayant Yadav.png?v=1,2,5, 5, 17,125,1/23,62.50,7.35, 51.00 ,0,0
John Hastings,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 6,37,2/6,18.50,5.55, 20.00 ,0,0
Varun Aaron,RCB,https://scores.iplt20.com/ipl/playerimages/Varun Aaron.png?v=1,2,8, 8, 23,227,3/16,113.50,9.59, 71.00 ,0,0
JP Duminy,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,10, 5, 7,55,4/17,27.50,7.85, 21.00 ,0,0
Shahbaz Nadeem,DC,https://scores.iplt20.com/ipl/playerimages/Shahbaz Nadeem.png?v=1,2,4, 4, 15,127,3/16,63.50,8.46, 45.00 ,0,0
Shadab Jakati,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,6, 6, 20,178,4/22,89.00,8.90, 60.00 ,0,0
Sachin Baby,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,11, 2, 1,8,2/4,4.00,4.80, 5.00 ,0,0
Kyle Abbott,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,5, 5, 16,177,1/38,88.50,11.06, 48.00 ,0,0
Rishi Dhawan,PBKS,https://scores.iplt20.com/ipl/playerimages/Rishi Dhawan.png?v=1,2,2, 2, 7,56,2/14,28.00,8.00, 21.00 ,0,0
Mitchell Johnson,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,3, 3, 11,106,3/26,53.00,9.63, 33.00 ,0,0
Gurkeerat Mann Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,7, 3, 4,31,2/15,15.50,7.75, 12.00 ,0,0
Chris Gayle,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,2,10, 4, 10,63,3/21,31.50,6.30, 30.00 ,0,0
Albie Morkel,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,2, 2, 5,66,4/32,33.00,13.20, 15.00 ,0,0
Yusuf Pathan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,15, 4, 6,33,3/20,33.00,5.50, 36.00 ,0,0
Trent Boult,SRH,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,1,1, 1, 4,39,4/18,39.00,9.75, 24.00 ,0,0
Adam Milne,RCB,https://scores.iplt20.com/ipl/playerimages/Adam Milne.png?v=1,1,1, 1, 4,43,2/21,43.00,10.75, 24.00 ,0,0
