player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Robin Uthappa,KKR,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,660,16,16,1,83*,44.00,479,137.78,0,5,74,18
Dwayne Smith,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,566,16,16,0,79,35.37,416,136.05,0,5,50,34
Glenn Maxwell,PBKS,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,552,16,16,0,95,34.50,294,187.75,0,4,48,36
David Warner,SRH,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,528,14,14,3,90,48.00,375,140.80,0,6,39,24
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,523,16,16,3,87,40.23,358,146.08,0,5,51,19
Virender Sehwag,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,455,17,17,0,122,26.76,315,144.44,1,1,56,18
David Miller,PBKS,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=1,446,16,16,6,66,44.60,299,149.16,0,3,34,21
JP Duminy,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,410,14,14,6,67*,51.25,305,134.42,0,2,22,20
Brendon McCullum,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,405,14,14,1,71*,31.15,333,121.62,0,3,32,19
Manish Pandey,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,401,16,16,3,94,30.84,340,117.94,0,2,35,10
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,395,14,13,2,89*,35.90,249,158.63,0,3,26,24
Lendl Simmons,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,394,8,8,1,100*,56.28,291,135.39,1,3,43,14
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,390,15,15,2,59*,30.00,302,129.13,0,3,31,16
Shikhar Dhawan,SRH,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,377,14,14,1,64*,29.00,319,118.18,0,2,49,7
Yuvraj Singh,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,376,14,14,3,83,34.18,278,135.25,0,3,22,28
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,371,16,15,10,57*,74.20,250,148.40,0,1,22,20
Wriddhiman Saha,PBKS,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png?v=1,362,17,13,2,115*,32.90,249,145.38,1,2,33,18
