player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
David Warner,SRH,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,641,14,14,3,126,58.27,452,141.81,1,4,63,26
Gautam Gambhir,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,498,16,16,4,76*,41.50,389,128.02,0,4,61,7
Shikhar Dhawan,SRH,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,479,14,14,1,77,36.84,376,127.39,0,3,53,9
Steve Smith,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,472,15,15,3,84*,39.33,387,121.96,0,3,38,12
Suresh Raina,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,442,14,14,3,84,40.18,307,143.97,0,3,42,13
Hashim Amla,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,420,10,10,3,104*,60.00,288,145.83,2,2,40,17
Manish Pandey,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,396,14,13,5,81*,49.50,308,128.57,0,2,28,12
Parthiv Patel,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,395,16,16,0,70,24.68,293,134.81,0,2,49,8
Rahul Tripathi,RPS,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png?v=1,391,14,14,0,93,27.92,267,146.44,0,2,43,17
Robin Uthappa,KKR,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,388,14,13,0,87,29.84,235,165.10,0,5,36,21
Sanju Samson,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,386,14,14,0,102,27.57,273,141.39,1,2,32,19
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,385,17,16,3,70,29.61,276,139.49,0,3,26,22
Ajinkya Rahane,RPS,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,382,16,16,1,60,25.46,323,118.26,0,2,35,9
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,366,14,14,0,97,26.14,221,165.61,0,2,28,24
Dinesh Karthik,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,361,14,13,3,65,36.10,259,139.38,0,2,30,11
Shreyas Iyer,DC,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,338,12,12,2,96,33.80,243,139.09,0,2,36,10
Nitish Rana,MI,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=1,333,13,12,1,62*,30.27,264,126.13,0,3,24,17
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,333,17,16,2,67,23.78,273,121.97,0,3,31,9
Manoj Tiwary,RPS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,324,15,13,3,60,32.40,236,137.28,0,2,31,11
Brendon McCullum,GL,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,319,11,11,0,72,29.00,217,147.00,0,2,29,18
Ben Stokes,RPS,https://scores.iplt20.com/ipl/playerimages/Ben Stokes.png?v=1,316,12,11,1,103*,31.60,221,142.98,1,1,22,15
Glenn Maxwell,PBKS,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,310,14,13,3,47,31.00,179,173.18,0,0,19,26
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,308,10,10,0,64,30.80,252,122.22,0,4,23,11
Aaron Finch,GL,https://scores.iplt20.com/ipl/playerimages/Aaron Finch.png?v=1,299,13,13,1,72,24.91,180,166.11,0,2,25,19
Chris Lynn,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,295,7,7,1,93*,49.16,163,180.98,0,3,25,19
MS Dhoni,RPS,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,290,16,15,4,61*,26.36,250,116.00,0,1,15,16
Karun Nair,DC,https://scores.iplt20.com/ipl/playerimages/Karun Nair.png?v=1,281,14,13,0,64,21.61,226,124.33,0,1,39,6
Ishan Kishan,GL,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png?v=1,277,11,10,0,61,27.70,206,134.46,0,1,29,13
Moises Henriques,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,277,12,11,5,55*,46.16,203,136.45,0,3,28,4
Jos Buttler,MI,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png?v=1,272,10,10,0,77,27.20,177,153.67,0,1,27,15
Kedar Jadhav,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,267,13,13,1,69,22.25,186,143.54,0,1,25,10
Shaun Marsh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,264,9,8,0,84,33.00,194,136.08,0,2,36,5
Kane Williamson,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,256,7,7,1,89,42.66,169,151.47,0,2,20,10
Yuvraj Singh,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,252,12,11,2,70*,28.00,177,142.37,0,2,30,8
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,250,17,16,9,35*,35.71,160,156.25,0,0,11,20
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,243,13,11,4,47,34.71,179,135.75,0,0,24,7
