player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Jos Buttler,RR,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png?v=1,863,17,17,2,116,57.53,579,149.05,4,4,83,45
K L Rahul,LSG,https://scores.iplt20.com/ipl/playerimages/K L Rahul.png?v=1,616,15,15,3,103*,51.33,455,135.38,2,4,45,30
Quinton De Kock,LSG,https://scores.iplt20.com/ipl/playerimages/Quinton De Kock.png?v=1,508,15,15,1,140*,36.29,341,148.97,1,3,47,23
Hardik Pandya,GT,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,487,15,15,4,87*,44.27,371,131.26,0,4,49,12
Shubman Gill,GT,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png?v=1,483,16,16,2,96,34.50,365,132.32,0,4,51,11
David Miller,GT,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=1,481,16,16,9,94*,68.71,337,142.72,0,2,32,23
Faf Du Plessis,RCB,https://scores.iplt20.com/ipl/playerimages/Faf Du Plessis.png?v=1,468,16,16,1,96,31.20,367,127.52,0,3,49,13
Shikhar Dhawan,PBKS,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,460,14,14,2,88*,38.33,375,122.66,0,3,47,12
Sanju Samson,RR,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png?v=1,458,17,17,1,55,28.63,312,146.79,0,2,43,26
Deepak Hooda,LSG,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png?v=1,451,15,14,0,59,32.21,330,136.66,0,4,36,18
Liam Livingstone,PBKS,https://scores.iplt20.com/ipl/playerimages/Liam Livingstone.png?v=1,437,14,14,2,70,36.42,240,182.08,0,4,29,34
David Warner,DC,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,432,12,12,3,92*,48.00,287,150.52,0,5,52,15
Abhishek Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png?v=1,426,14,14,0,75,30.43,320,133.12,0,2,47,13
Ishan Kishan,MI,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png?v=1,418,14,14,1,81*,32.15,348,120.11,0,3,45,11
Rahul Tripathi,SRH,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png?v=1,413,14,14,3,76,37.55,261,158.23,0,3,40,20
Shreyas Iyer,KKR,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,401,14,14,1,85,30.85,298,134.56,0,3,41,11
Tilak Varma,MI,https://scores.iplt20.com/ipl/playerimages/Tilak Varma.png?v=1,397,14,14,3,61,36.09,303,131.02,0,2,29,16
Aiden Markram,SRH,https://scores.iplt20.com/ipl/playerimages/Aiden Markram.png?v=1,381,14,12,4,68*,47.63,274,139.05,0,3,25,19
Devdutt Padikkal,RR,https://scores.iplt20.com/ipl/playerimages/Devdutt Padikkal.png?v=1,376,17,17,0,54,22.12,306,122.87,0,1,40,14
Ruturaj  Gaikwad,CSK,https://scores.iplt20.com/ipl/playerimages/Ruturaj  Gaikwad.png?v=1,368,14,14,0,99,26.29,291,126.46,0,3,33,14
Nitish Rana,KKR,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=1,361,14,14,1,57,27.77,251,143.82,0,2,29,22
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,341,16,16,1,73,22.73,294,115.98,0,2,32,8
