player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Sachin Tendulkar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,618,15,15,2,89*,47.53,466,132.61,0,5,86,3
Jacques Kallis,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,572,16,16,4,89*,47.66,494,115.78,0,6,67,9
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,520,16,16,5,83*,47.27,364,142.85,0,4,45,22
Sourav Ganguly,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,493,14,14,1,88,37.92,419,117.66,0,4,58,15
Murali Vijay,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,458,15,15,2,127,35.23,292,156.84,1,2,36,26
Mahela Jayawardena,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,439,13,13,3,110*,43.90,298,147.31,1,1,55,11
Andrew Symonds,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,429,16,16,2,54,30.64,341,125.80,0,4,35,18
Saurabh Tiwary,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,419,16,15,1,61,29.92,309,135.59,0,3,29,18
Rohit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,404,16,16,2,73,28.85,302,133.77,0,3,36,14
Naman Ojha,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,377,14,14,2,94*,31.41,285,132.28,0,2,42,15
Robin Uthappa,RCB,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,374,16,14,2,68*,31.16,218,171.55,0,3,21,27
Kumar Sangakkara,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,357,13,12,0,56,29.75,257,138.91,0,2,47,5
Ambati Rayudu,MI,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,356,14,14,1,55*,27.38,246,144.71,0,2,34,13
Virender Sehwag,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,356,14,14,0,75,25.42,218,163.30,0,3,47,14
Subramaniam Badrinath,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,356,16,15,4,55*,32.36,303,117.49,0,2,41,5
Matthew Hayden,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,346,16,16,0,93,21.62,279,124.01,0,1,37,16
Yusuf Pathan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,333,14,14,2,100,27.75,201,165.67,1,1,22,24
Tirumalasetti Suman,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,307,14,14,5,78*,34.11,257,119.45,0,2,23,12
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,307,16,13,2,58,27.90,212,144.81,0,1,26,12
Chris Gayle,KKR,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,292,9,9,0,88,32.44,184,158.69,0,2,30,16
Adam Gilchrist,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,289,16,16,0,54,18.06,185,156.21,0,1,31,16
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,287,13,11,2,66*,31.88,210,136.66,0,2,26,8
David Warner,DC,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,282,11,11,1,107*,28.20,191,147.64,1,1,27,14
Michael Lumb,RR,https://scores.iplt20.com/ipl/playerimages/Michael Lumb.png?v=1,278,11,11,0,83,25.27,192,144.79,0,1,45,6
Dinesh Karthik,DC,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png?v=1,278,14,14,1,69,21.38,237,117.29,0,1,26,6
Gautam Gambhir,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,277,11,10,1,72,30.77,217,127.64,0,2,32,2
Irfan Pathan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,276,14,13,5,60,34.50,186,148.38,0,1,21,10
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,273,14,14,2,45*,22.75,147,185.71,0,0,23,17
Herschelle Gibbs,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,267,10,10,0,50,26.70,235,113.61,0,1,26,9
Rahul Dravid,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,256,16,11,2,52,28.44,199,128.64,0,1,34,3
Yuvraj Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,255,14,14,2,43,21.25,199,128.14,0,0,20,14
Manish Pandey,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,249,13,13,1,42*,20.75,226,110.17,0,0,27,7
Ravi Bopara,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,248,10,9,1,77,31.00,214,115.88,0,2,25,3
Manoj Tiwary,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,237,13,11,2,75*,26.33,186,127.41,0,2,23,5
Kevin Pietersen,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,236,7,7,3,66*,59.00,157,150.31,0,2,23,8
Angelo Mathews,KKR,https://scores.iplt20.com/ipl/playerimages/Angelo Mathews.png?v=1,233,14,11,4,65*,33.28,184,126.63,0,1,18,8
Manvinder Bisla,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,218,10,10,0,75,21.80,178,122.47,0,1,27,6
Paul Collingwood,DC,https://scores.iplt20.com/ipl/playerimages/Paul Collingwood.png?v=1,203,8,7,2,75*,40.60,156,130.12,0,3,9,13
Albie Morkel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,198,14,11,3,62,24.75,131,151.14,0,1,10,13
Shikhar Dhawan,MI,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,191,10,10,0,56,19.10,170,112.35,0,2,23,3
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,185,6,5,0,60,37.00,114,162.28,0,2,18,9
Abhishek Jhunjhunwala,RR,https://scores.iplt20.com/ipl/playerimages/Abhishek Jhunjhunwala.png?v=1,183,13,11,2,53*,20.33,166,110.24,0,1,16,4
