player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
David Warner,SRH,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,562,14,14,1,91,43.23,359,156.54,0,7,65,21
Lendl Simmons,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,540,13,13,1,71,45.00,441,122.44,0,6,56,21
Ajinkya Rahane,RR,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,540,14,13,2,91*,49.09,413,130.75,0,4,53,13
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,513,16,14,3,133*,46.63,293,175.08,1,2,60,22
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,505,16,16,5,82*,45.90,386,130.82,0,3,35,23
Chris Gayle,RCB,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,491,14,14,2,117,40.91,333,147.44,1,2,39,38
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,482,16,16,2,98*,34.42,333,144.74,0,3,41,21
Shreyas Iyer,DC,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,439,14,14,1,83,33.76,342,128.36,0,4,41,21
Brendon McCullum,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,436,14,14,1,100*,33.53,280,155.71,1,2,51,23
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,419,16,14,3,70,38.09,256,163.67,0,2,28,28
JP Duminy,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,414,14,13,3,78*,41.40,315,131.42,0,4,27,20
Dwayne Smith,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,399,16,16,0,62,24.93,335,119.10,0,2,52,16
Faf du Plessis,CSK,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png?v=1,380,17,15,2,55,29.23,304,125.00,0,1,37,5
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,374,17,17,2,62,24.93,304,123.02,0,2,31,16
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,372,17,17,5,53,31.00,305,121.96,0,1,27,17
Robin Uthappa,KKR,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,364,13,13,1,80*,30.33,277,131.40,0,1,42,7
David Miller,PBKS,https://scores.iplt20.com/ipl/playerimages/David Miller.png?v=1,357,13,13,2,89*,32.45,266,134.21,0,2,21,21
Shikhar Dhawan,SRH,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,353,14,14,1,54,27.15,286,123.42,0,3,45,6
Shane Watson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,347,10,9,1,104*,43.37,257,135.01,1,1,37,14
Parthiv Patel,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,339,14,14,1,59,26.07,246,137.80,0,2,47,5
Gautam Gambhir,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,327,13,13,0,60,25.15,278,117.62,0,3,41,4
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,326,13,11,2,66,36.22,169,192.89,0,3,35,19
