player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Kane Williamson,SRH,https://scores.iplt20.com/ipl/playerimages/Kane Williamson.png?v=1,735,17,17,3,84,52.50,516,142.44,0,8,64,28
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,684,14,14,1,128*,52.61,394,173.60,1,5,68,37
KL Rahul,PBKS,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png?v=1,659,14,14,2,95*,54.91,416,158.41,0,6,66,32
Ambati Rayudu,CSK,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,602,16,16,2,100*,43.00,402,149.75,1,3,53,34
Shane Watson,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,555,15,15,1,117*,39.64,359,154.59,2,2,44,35
Jos Buttler,RR,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png?v=1,548,13,13,3,95*,54.80,353,155.24,0,5,52,21
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,530,14,14,3,92*,48.18,381,139.10,0,4,52,18
Suryakumar Yadav,MI,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png?v=1,512,14,14,0,72,36.57,384,133.33,0,4,61,16
Dinesh Karthik,KKR,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png?v=1,498,16,16,6,52,49.80,337,147.77,0,2,49,16
Shikhar Dhawan,SRH,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,497,16,16,3,92*,38.23,363,136.91,0,4,59,14
Chris Lynn,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,491,16,16,1,74,32.73,377,130.23,0,3,56,18
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,480,12,11,2,90*,53.33,275,174.54,0,6,39,30
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,455,16,15,9,79*,75.83,302,150.66,0,3,24,30
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,445,15,15,3,75*,37.08,336,132.44,0,4,46,12
Sanju Samson,RR,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png?v=1,441,15,15,1,92*,31.50,320,137.81,0,3,30,19
Shreyas Iyer,DC,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,411,14,14,3,93*,37.36,310,132.58,0,4,29,21
